idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779703695339596719,0,0,3,-22384,2592192,39803,42526,0,0,90,0,0,-0.0853882,9.8884277,0
2,1779703695344621578,0,0,5,-44784,2592192,39803,42527,0,0,77,-22405,2592192,-0.1708374,9.8884277,0
3,1779703695349654309,0,0,1,-48512,2592192,39803,42527,0,0,20,-26140,2592192,-0.1850586,9.8884277,0
4,1779703695354558298,0,0,3,-66128,2592192,39803,42527,0,0,-27,-44811,2592192,-0.2522583,9.8884277,0
5,1779703695359587413,0,0,1,-68720,2592192,39803,42527,0,0,-48,-48545,2592192,-0.2621460,9.8884277,0
6,1779703695364632881,0,0,2,-80672,2592192,39803,42526,0,0,-133,-65570,2592192,-0.3077393,9.8884277,0
7,1779703695369802867,0,0,1,-81712,2592192,39803,42524,0,0,-278,-67801,2592192,-0.3117065,9.8884277,0
8,1779703695374846319,0,0,2,-91408,2592192,39803,42523,0,0,-278,-80428,2592192,-0.3486938,9.8884277,0
9,1779703695379429076,0,0,1,-90912,2592192,39803,42522,0,0,-118,-81442,2592192,-0.3468018,9.8884277,0
10,1779703695384441166,0,0,1,-101856,2592192,39803,42524,0,0,393,-91522,2592192,-0.3885498,9.8884277,0
11,1779703695389685332,0,0,2,-96592,2592192,39803,42528,0,0,784,-91110,2592192,-0.3684692,9.8884277,0
12,1779703695394852662,0,0,2,-102224,2592192,39803,42531,0,0,784,-99707,2592192,-0.3899536,9.8884277,0
13,1779703695400102812,0,0,2,-100464,2592192,39803,42528,0,0,-456,-97683,2592192,-0.3832397,9.8884277,0
14,1779703695404838024,0,0,2,-102224,2592192,39803,42525,0,0,-732,-102236,2592192,-0.3899536,9.8884277,0
15,1779703695409860867,0,0,2,-102224,2592192,39803,42525,0,0,85,-101801,2592192,-0.3899536,9.8884277,0
16,1779703695414610672,0,0,1,-102224,2592192,39803,42532,0,0,1418,-102236,2592192,-0.3899536,9.8884277,0
17,1779703695419591401,0,0,1,-102224,2592192,39803,42543,0,0,2188,-102236,2592192,-0.3899536,9.8884277,0
18,1779703695424555361,0,0,1,-102224,2592192,39803,42553,0,0,2080,-102236,2592192,-0.3899536,9.8884277,0
