idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779174335083243993,0,0,4,1488,2592192,27100,-42055,0,0,-118,0,0,0.0056763,9.8884277,0
2,1779174335088299496,0,0,3,-8272,2592192,27100,-42056,0,0,-175,0,2592192,-0.0315552,9.8884277,0
3,1779174335093234329,0,0,1,-8496,2592192,27100,-42056,0,0,-154,0,2592192,-0.0324097,9.8884277,0
4,1779174335098220426,0,0,1,-8592,2592192,27100,-42057,0,0,-155,0,2592192,-0.0327759,9.8884277,0
5,1779174335103256250,0,0,1,-8592,2592192,27100,-42058,0,0,-236,0,2592192,-0.0327759,9.8884277,0
6,1779174335108201803,0,0,1,-8576,2592192,27100,-42060,0,0,-302,0,2592192,-0.0327148,9.8884277,0
7,1779174335113175707,0,0,1,-8592,2592192,27100,-42061,0,0,-228,0,2592192,-0.0327759,9.8884277,0
8,1779174335118178444,0,0,1,-8592,2592192,27100,-42062,0,0,-119,0,2592192,-0.0327759,9.8884277,0
9,1779174335123242907,0,0,1,-8592,2592192,27100,-42062,0,0,-102,0,2592192,-0.0327759,9.8884277,0
10,1779174335128186956,0,0,1,-8576,2592192,27100,-42063,0,0,-140,0,2592192,-0.0327148,9.8884277,0
11,1779174335133597177,0,0,1,-8672,2592192,27100,-42064,0,0,-177,0,2592192,-0.0330811,9.8884277,0
12,1779174335138157421,0,0,1,-8640,2592192,27100,-42065,0,0,-179,0,2592192,-0.0329590,9.8884277,0
13,1779174335143186173,0,0,1,-8672,2592192,27100,-42065,0,0,-139,0,2592192,-0.0330811,9.8884277,0
14,1779174335148185710,0,0,1,-8672,2592192,27100,-42066,0,0,-88,0,2592192,-0.0330811,9.8884277,0
15,1779174335153219358,0,0,1,-8688,2592192,27100,-42066,0,0,-81,0,2592192,-0.0331421,9.8884277,0
16,1779174335158180398,0,0,1,-8576,2592192,27100,-42067,0,0,-94,0,2592192,-0.0327148,9.8884277,0
17,1779174335163181919,0,0,1,-8576,2592192,27100,-42067,0,0,-88,0,2592192,-0.0327148,9.8884277,0
18,1779174335168178191,0,0,1,-8624,2592192,27100,-42067,0,0,-72,0,2592192,-0.0328979,9.8884277,0
19,1779174335173220959,0,0,1,-8624,2592192,27100,-42068,0,0,-45,0,2592192,-0.0328979,9.8884277,0
