site,kind,note,policy_width,policy_note,algebraic_worst,chosen_width,observed_max_bits,margin_bits,bits_saved_vs_worst,frac_bits,int_bits_needed,frac_bits_used,dead_low_bits,min_nonzero_raw,max_abs_raw,total_samples,obs_bits[FPGA_ROS2],obs_bits[FPGA_UDP],obs_bits[MPC_10Laps],obs_bits[MPC10LapBaseline],obs_bits[LateralPlanner]
QP_MUL    fp_QP_mul_t,MUL,,42,,52,43,41,2,9,,,,,,1074446073980,332010180,41,41,41,41,41
P_QP_MUL  fp_P_QP_mul_t,MUL,,43,,53,43,42,1,10,,,,,,1596205354916,1549166040,41,41,42,41,42
MG_QP_MUL fp_MG_QP_mul_t,MUL,,33,,44,34,32,2,10,,,,,,1268675400,421838640,31,31,31,31,32
MG_K_MUL  fp_MG_K_mul_t,MUL,,34,,35,35,33,2,0,,,,,,2299987300,309105900,31,32,32,32,33
K_QP_MUL  fp_K_QP_mul_t,MUL,,31,,43,33,30,3,10,,,,,,530987945,58184640,30,30,30,30,30
FN_MUL    fp_fn_accum_t,MUL,,34,,42,35,33,2,7,,,,,,2446692451,391175040,33,33,33,33,33
SUM2_QP_RAW,SUM,,27,,28,27,26,1,1,,,,,,26945629,151467050,26,25,24,21,26
SUM4_QP_RAW,SUM,,22,,29,23,21,2,6,,,,,,866427,25735200,21,21,21,20,21
SUM8_QP_RAW,SUM,,21,,30,22,20,2,8,,,,,,344033,15441120,19,19,20,19,20
SUM6_QP_tree,SUM,,37,QP shared with QP_ITEM,55,38,36,2,17,,,,,,20627660484,21819240,35,35,36,35,36
SUM6_QP_ACC (true),SUM,,36,QP shared with QP_ITEM,55,38,35,3,17,,,,,,15836833896,21819240,35,35,35,34,35
SUM2_P_RAW,SUM,,27,,28,27,26,1,1,,,,,,29106133,102550428,25,26,26,25,26
SUM6_P_QP,SUM,,42,shared with P_QP_ITEM,56,42,41,1,14,,,,,,690902656036,138188520,40,40,41,40,41
SUM2_P_QP,SUM,,35,,54,35,34,1,19,,,,,,6812388509,32728860,33,33,33,33,34
SUM4_P_QP,SUM,,34,,55,35,33,2,20,,,,,,2474759340,32728860,32,32,33,32,32
SUM2_P_MIX,SUM,,43,,66,43,42,1,23,,,,,,1596205354916,392746320,41,41,42,41,42
SUM4_P_MIX,SUM,,41,,67,41,40,1,26,,,,,,356976899760,196373160,39,39,40,39,40
SUM8_P_MIX,SUM,,40,,68,41,39,2,27,,,,,,156084216980,21819240,37,38,39,37,38
SUM8_P_MIX_pupdate,SUM,,41,,68,41,40,1,27,,,,,,476872271636,76367340,39,40,40,39,40
SUM2_MG_RAW,SUM,,17,,19,19,16,3,0,,,,,,23450,7273080,15,16,16,14,15
SUM6_MG_QP,SUM,,33,shared with MG_QP_ITEM,47,34,32,2,13,,,,,,1233502116,43638480,31,31,32,31,32
SUM2_MG_QP,SUM,,26,,45,28,25,3,17,,,,,,14657511,7273080,24,24,25,25,25
SUM4_MG_QP,SUM,,25,,46,27,24,3,19,,,,,,6013000,7273080,24,24,24,24,24
SUM2_QP_MG,SUM,,27,,45,28,26,2,17,,,,,,18188468,65457720,26,26,25,26,26
SUM2_MG_K,SUM,,22,,36,24,21,3,12,,,,,,711185,61821180,21,21,21,21,21
SUM2_K_QP,SUM,,31,,44,33,30,3,11,,,,,,475163870,29092320,30,30,30,30,30
SUM4_K_QP,SUM,,31,,45,33,30,3,12,,,,,,474882906,14546160,30,30,30,30,30
SUM8_K_QP,SUM,,30,,46,31,29,2,15,,,,,,214394375,7273080,29,29,29,29,29
QP_RECIP_SHIFT,SUM,,14,,40,15,13,2,25,,,,,,2238,3751073,13,13,13,13,13
FN_RECIP_SHIFT,SUM,,17,,33,18,16,2,15,,,,,,16432,23161680,16,16,16,16,16
QP_DET_MUL,SUM,,41,,53,42,40,2,11,,,,,,536970875851,3636540,39,39,39,40,40
QP_ITEM   single product,ITEM,,37,shared with SUM6_QP_*,52,38,36,2,14,,,,,,28602609800,130915440,36,36,36,35,36
P_QP_ITEM single product,ITEM,,42,shared with SUM6_P_QP,53,42,41,1,11,,,,,,714310925940,829131120,40,40,41,40,41
P_MIX_ITEM single product,ITEM,,43,,65,43,42,1,22,,,,,,1596205354916,785492640,41,41,42,41,42
MG_QP_ITEM single product,ITEM,,33,shared with SUM6_MG_QP,44,34,32,2,10,,,,,,1268675400,261830880,31,31,31,31,32
K_QP_ITEM single product,ITEM,,31,,43,33,30,3,10,,,,,,530987945,58184640,30,30,30,30,30
QP_STORE  fp_QP_t,STORE,,26,,data,26,26,0,,14,11,14,0,1,32774101,576035733,26,25,25,26,26
FN_STORE  fp_FN_t,STORE,,21,,data,21,21,0,,12,8,12,0,1,786415,1546685520,21,21,21,21,21
P_STORE   fp_P_t,STORE,,27,,data,27,27,0,,6,20,6,0,1,42169352,440021340,26,26,27,26,27
MG_STORE  fp_MG_t,STORE,,18,,data,18,18,0,,3,14,3,0,1,75286,123642360,17,17,18,17,18
K_STORE   fp_K_t,STORE,,17,,data,17,17,0,,8,8,8,0,1,35525,65457720,17,17,16,17,17
