idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779177349762468915,0,0,9,-9168,1851488,27100,-42010,0,0,-77,0,0,-0.0349731,7.0628662,0
2,1779177349767465168,0,0,2,2192,1851488,27100,-42010,0,0,-108,0,1851488,0.0083618,7.0628662,0
3,1779177349772575825,0,0,1,2432,1851488,27100,-42010,0,0,-81,0,1851488,0.0092773,7.0628662,0
4,1779177349777468204,0,0,1,2496,1851488,27100,-42011,0,0,-86,0,1851488,0.0095215,7.0628662,0
5,1779177349782477130,0,0,1,2464,1851488,27100,-42012,0,0,-137,0,1851488,0.0093994,7.0628662,0
6,1779177349787472295,0,0,1,2496,1851488,27100,-42012,0,0,-151,0,1851488,0.0095215,7.0628662,0
7,1779177349792466373,0,0,1,2528,1851488,27100,-42013,0,0,-66,0,1851488,0.0096436,7.0628662,0
8,1779177349797458146,0,0,1,2608,1851488,27100,-42012,0,0,79,0,1851488,0.0099487,7.0628662,0
9,1779177349802547554,0,0,1,2624,1851488,27100,-42011,0,0,199,0,1851488,0.0100098,7.0628662,0
10,1779177349807466654,0,0,1,2592,1851488,27100,-42010,0,0,260,0,1851488,0.0098877,7.0628662,0
11,1779177349812438011,0,0,1,2656,1851488,27100,-42009,0,0,284,0,1851488,0.0101318,7.0628662,0
12,1779177349817449753,0,0,1,2688,1851488,27100,-42007,0,0,304,0,1851488,0.0102539,7.0628662,0
13,1779177349822452119,0,0,1,2592,1851488,27100,-42005,0,0,348,0,1851488,0.0098877,7.0628662,0
14,1779177349827453172,0,0,1,2672,1851488,27100,-42003,0,0,359,0,1851488,0.0101929,7.0628662,0
15,1779177349832447186,0,0,1,2656,1851488,27100,-42002,0,0,286,0,1851488,0.0101318,7.0628662,0
16,1779177349837445295,0,0,1,2704,1851488,27100,-42001,0,0,178,0,1851488,0.0103149,7.0628662,0
17,1779177349842441709,0,0,1,2736,1851488,27100,-42001,0,0,82,0,1851488,0.0104370,7.0628662,0
18,1779177349847448843,0,0,1,2736,1851488,27100,-42001,0,0,32,0,1851488,0.0104370,7.0628662,0
19,1779177349852442376,0,0,1,2736,1851488,27100,-42001,0,0,11,0,1851488,0.0104370,7.0628662,0
20,1779177349857436646,0,0,1,2704,1851488,27100,-42001,0,0,-28,0,1851488,0.0103149,7.0628662,0
21,1779177349862446276,0,0,1,2736,1851488,27100,-42001,0,0,-82,0,1851488,0.0104370,7.0628662,0
22,1779177349867444514,0,0,1,2752,1851488,27100,-42002,0,0,-124,0,1851488,0.0104980,7.0628662,0
23,1779177349872450815,0,0,1,2768,1851488,27100,-42002,0,0,-134,0,1851488,0.0105591,7.0628662,0
24,1779177349877443997,0,0,1,2768,1851488,27100,-42003,0,0,-83,0,1851488,0.0105591,7.0628662,0
25,1779177349882448443,0,0,1,2832,1851488,27100,-42003,0,0,11,0,1851488,0.0108032,7.0628662,0
26,1779177349887457849,0,0,1,2848,1851488,27100,-42002,0,0,55,0,1851488,0.0108643,7.0628662,0
27,1779177349892429142,0,0,1,2880,1851488,27100,-42002,0,0,11,0,1851488,0.0109863,7.0628662,0
28,1779177349897433267,0,0,1,2768,1851488,27100,-42003,0,0,-46,0,1851488,0.0105591,7.0628662,0
29,1779177349902435153,0,0,1,2800,1851488,27100,-42003,0,0,-100,0,1851488,0.0106812,7.0628662,0
30,1779177349907431727,0,0,1,2832,1851488,27100,-42004,0,0,-222,0,1851488,0.0108032,7.0628662,0
31,1779177349912437037,0,0,1,2896,1851488,27100,-42006,0,0,-345,0,1851488,0.0110474,7.0628662,0
32,1779177349917431562,0,0,1,2896,1851488,27100,-42008,0,0,-343,0,1851488,0.0110474,7.0628662,0
33,1779177349922427080,0,0,1,2864,1851488,27100,-42009,0,0,-238,0,1851488,0.0109253,7.0628662,0
34,1779177349927427717,0,0,1,2864,1851488,27100,-42009,0,0,-83,0,1851488,0.0109253,7.0628662,0
35,1779177349932436419,0,0,1,2928,1851488,27100,-42009,0,0,89,0,1851488,0.0111694,7.0628662,0
36,1779177349937436225,0,0,1,2896,1851488,27100,-42008,0,0,218,0,1851488,0.0110474,7.0628662,0
37,1779177349942430846,0,0,1,2864,1851488,27100,-42006,0,0,285,0,1851488,0.0109253,7.0628662,0
38,1779177349947451485,0,0,1,2928,1851488,27100,-42005,0,0,278,0,1851488,0.0111694,7.0628662,0
39,1779177349952451642,0,0,1,2912,1851488,27100,-42004,0,0,171,0,1851488,0.0111084,7.0628662,0
40,1779177349957440248,0,0,1,2960,1851488,27100,-42004,0,0,25,0,1851488,0.0112915,7.0628662,0
41,1779177349962438165,0,0,1,2864,1851488,27100,-42004,0,0,-72,0,1851488,0.0109253,7.0628662,0
42,1779177349967435539,0,0,1,2896,1851488,27100,-42005,0,0,-103,0,1851488,0.0110474,7.0628662,0
43,1779177349972436977,0,0,1,2864,1851488,27100,-42005,0,0,-49,0,1851488,0.0109253,7.0628662,0
44,1779177349977428174,0,0,1,2928,1851488,27100,-42005,0,0,60,0,1851488,0.0111694,7.0628662,0
45,1779177349982431116,0,0,1,2944,1851488,27100,-42004,0,0,88,0,1851488,0.0112305,7.0628662,0
46,1779177349987441450,0,0,1,2880,1851488,27100,-42004,0,0,40,0,1851488,0.0109863,7.0628662,0
47,1779177349992428615,0,0,1,2880,1851488,27100,-42004,0,0,51,0,1851488,0.0109863,7.0628662,0
48,1779177349997456934,0,0,1,2944,1851488,27100,-42003,0,0,135,0,1851488,0.0112305,7.0628662,0
49,1779177350002446147,0,0,1,2944,1851488,27100,-42002,0,0,181,0,1851488,0.0112305,7.0628662,0
50,1779177350007434368,0,0,1,2976,1851488,27100,-42002,0,0,149,0,1851488,0.0113525,7.0628662,0
51,1779177350012438110,0,0,1,2880,1851488,27100,-42001,0,0,122,0,1851488,0.0109863,7.0628662,0
