idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779177893990638379,0,0,9,-17808,1851488,27100,-42073,0,0,-76,-9297,0,-0.0679321,7.0628662,0
2,1779177893995273728,0,0,2,-192,1851488,27100,-42073,0,0,-76,-9297,1851488,-0.0007324,7.0628662,0
3,1779177894000185017,0,0,1,-2992,1851488,27100,-42074,0,0,-87,-16865,1851488,-0.0114136,7.0628662,0
4,1779177894005194291,0,0,1,-4608,1851488,27100,-42075,0,0,-200,-23603,1851488,-0.0175781,7.0628662,0
5,1779177894010266317,0,0,1,-6576,1851488,27100,-42076,0,0,-208,-28952,1851488,-0.0250854,7.0628662,0
6,1779177894015381576,0,0,2,-10656,1851488,27100,-42077,0,0,-161,-33034,1851488,-0.0406494,7.0628662,0
7,1779177894020128830,0,0,3,-13728,1851488,27100,-42077,0,0,-128,-36097,1851488,-0.0523682,7.0628662,0
8,1779177894025713470,0,0,2,-15760,1851488,27100,-42078,0,0,-94,-38136,1851488,-0.0601196,7.0628662,0
9,1779177894030318739,0,0,2,-16816,1851488,27100,-42078,0,0,-94,-39193,1851488,-0.0641479,7.0628662,0
10,1779177894035283053,0,0,1,-17088,1851488,27100,-42078,0,0,11,-39458,1851488,-0.0651855,7.0628662,0
11,1779177894040339111,0,0,1,-16800,1851488,27100,-42078,0,0,24,-39178,1851488,-0.0640869,7.0628662,0
12,1779177894045239295,0,0,1,-16224,1851488,27100,-42078,0,0,7,-38596,1851488,-0.0618896,7.0628662,0
13,1779177894050340602,0,0,1,-15536,1851488,27100,-42078,0,0,13,-37915,1851488,-0.0592651,7.0628662,0
14,1779177894055186129,0,0,1,-14912,1851488,27100,-42077,0,0,34,-37280,1851488,-0.0568848,7.0628662,0
15,1779177894060191403,0,0,1,-14400,1851488,27100,-42078,0,0,-31,-36774,1851488,-0.0549316,7.0628662,0
16,1779177894065208709,0,0,1,-14048,1851488,27100,-42079,0,0,-201,-36428,1851488,-0.0535889,7.0628662,0
17,1779177894070254879,0,0,1,-13856,1851488,27100,-42081,0,0,-409,-36236,1851488,-0.0528564,7.0628662,0
18,1779177894075217208,0,0,1,-13792,1851488,27100,-42085,0,0,-905,-36167,1851488,-0.0526123,7.0628662,0
19,1779177894080225489,0,0,1,-13808,1851488,27100,-42095,0,0,-1946,-36183,1851488,-0.0526733,7.0628662,0
20,1779177894085212395,0,0,1,-13856,1851488,27100,-42113,0,0,-3653,-36239,1851488,-0.0528564,7.0628662,0
21,1779177894090215236,0,0,1,-13920,1851488,27100,-42144,0,0,-6164,-36295,1851488,-0.0531006,7.0628662,0
22,1779177894095638146,0,0,1,-13936,1851488,27100,-42196,0,0,-9508,-36305,1851488,-0.0531616,7.0628662,0
23,1779177894100100758,0,0,1,-13840,1851488,27100,-42256,0,0,-13665,-36220,1851488,-0.0527954,7.0628662,0
24,1779177894105234193,0,0,1,-13632,1851488,27100,-42348,0,0,-17769,-36002,1851488,-0.0520020,7.0628662,0
25,1779177894110251466,0,0,1,-13264,1851488,27100,-42453,0,0,-20893,-35641,1851488,-0.0505981,7.0628662,0
26,1779177894115239940,0,0,1,-12784,1851488,27100,-42564,0,0,-22310,-35164,1851488,-0.0487671,7.0628662,0
27,1779177894120274430,0,0,1,-12272,1851488,27100,-42672,0,0,-21392,-34651,1851488,-0.0468140,7.0628662,0
28,1779177894124948915,0,0,1,-11856,1851488,27100,-42755,0,0,-17927,-34224,1851488,-0.0452271,7.0628662,0
29,1779177894130660021,0,0,1,-11632,1851488,27100,-42825,0,0,-12134,-34005,1851488,-0.0443726,7.0628662,0
30,1779177894135506893,0,0,1,-11696,1851488,27100,-42852,0,0,-5726,-34070,1851488,-0.0446167,7.0628662,0
31,1779177894140794442,0,0,1,-12016,1851488,27100,-42851,0,0,203,-34391,1851488,-0.0458374,7.0628662,0
32,1779177894145659106,0,0,1,-12496,1851488,27100,-42828,0,0,4753,-34867,1851488,-0.0476685,7.0628662,0
33,1779177894150527642,0,0,3,-13088,1851488,27067,-42812,39403,-350,3373,-35456,1851488,-0.0499268,7.0628662,0
34,1779177894155194351,0,0,1,-13344,1851488,27033,-42797,41718,-405,3216,-35723,1851488,-0.0509033,7.0628662,0
35,1779177894160187337,0,0,1,-13392,1851488,26995,-42789,43973,-460,1466,-35760,1851488,-0.0510864,7.0628662,0
36,1779177894165182914,0,0,1,-13216,1851488,26956,-42797,46168,-488,-1496,-35594,1851488,-0.0504150,7.0628662,0
37,1779177894170180252,0,0,1,-12848,1851488,26914,-42828,48245,-506,-6286,-35231,1851488,-0.0490112,7.0628662,0
38,1779177894175187221,0,0,1,-12384,1851488,26870,-42893,50263,-518,-12838,-34757,1851488,-0.0472412,7.0628662,0
39,1779177894180181966,0,0,1,-11808,1851488,26825,-42992,52103,-521,-19975,-34190,1851488,-0.0450439,7.0628662,0
40,1779177894185188584,0,0,1,-11136,1851488,26779,-43125,52103,-521,-19975,-33504,1851488,-0.0424805,7.0628662,0
41,1779177894190176673,0,0,1,-10368,1851488,26731,-43282,53824,-519,-26410,-32741,1851488,-0.0395508,7.0628662,0
42,1779177894195636672,0,0,1,-9536,1851488,26676,-43480,55545,-514,-31618,-31912,1851488,-0.0363770,7.0628662,0
43,1779177894207977614,0,0,1,-9536,1851488,26515,-44036,57206,-558,-36168,-31912,1851488,-0.0363770,7.0628662,0
44,1779177894210671501,0,0,1,-9536,1851488,26481,-44152,70440,-1364,-45071,-31912,1851488,-0.0363770,7.0628662,0
45,1779177894215362659,0,0,1,-8736,1851488,26416,-44371,72991,-619,-43232,-31118,1851488,-0.0333252,7.0628662,0
46,1779177894220495422,0,0,1,-7568,1851488,25591,-41832,78332,-666,-46565,-29949,1851488,-0.0288696,7.0628662,0
47,1779177894225420823,0,0,1,-6560,1851488,25520,-42066,83376,-744,-47552,-28941,1851488,-0.0250244,7.0628662,0
48,1779177894230221998,0,0,1,-5792,1851488,25447,-42301,86106,-741,-47512,-28173,1851488,-0.0220947,7.0628662,0
49,1779177894235270024,0,0,1,-5792,1851488,25365,-42564,90082,-722,-48790,-28173,1851488,-0.0220947,7.0628662,0
50,1779177894240340450,0,0,1,-5520,1851488,25279,-42850,96194,-788,-52240,-27894,1851488,-0.0210571,7.0628662,0
51,1779177894245182426,0,0,1,-5040,1851488,25192,-43140,99695,-823,-56350,-27408,1851488,-0.0192261,7.0628662,0
52,1779177894250187123,0,0,2,-4432,1851488,25097,-43456,110614,-865,-62983,-26815,1851488,-0.0169067,7.0628662,0
53,1779177894255185069,0,0,1,-3808,1851488,24996,-43785,110614,-865,-62983,-26184,1851488,-0.0145264,7.0628662,0
54,1779177894260234759,0,0,1,-3184,1851488,24887,-44132,123432,-938,-68832,-25562,1851488,-0.0121460,7.0628662,0
55,1779177894264910237,0,0,1,-2592,1851488,24778,-44465,123432,-938,-68832,-24965,1851488,-0.0098877,7.0628662,0
56,1779177894270250778,0,0,2,-2032,1851488,24650,-44852,136132,-1030,-72576,-24414,1851488,-0.0077515,7.0628662,0
57,1779177894275214867,0,0,1,-2320,1851488,23799,-42499,139989,-1036,-74611,-24073,1851488,-0.0088501,7.0628662,0
58,1779177894280169356,0,0,1,-2784,1851488,23672,-42885,139989,-1036,-74611,-23813,1851488,-0.0106201,7.0628662,0
59,1779177894285309543,0,0,2,-2304,1851488,23536,-43304,155181,-1157,-81564,-23542,1851488,-0.0087891,7.0628662,0
60,1779177894290215616,0,0,1,-2000,1851488,23404,-43723,155181,-1157,-81564,-23174,1851488,-0.0076294,7.0628662,0
61,1779177894295189241,0,0,2,-1328,1851488,23258,-44162,168058,-1207,-88207,-22720,1851488,-0.0050659,7.0628662,0
62,1779177894300167058,0,0,1,-1328,1851488,23109,-44608,170254,-1202,-89672,-22156,1851488,-0.0050659,7.0628662,0
63,1779177894305167052,0,0,1,-1072,1851488,22955,-45058,170254,-1202,-89672,-21550,1851488,-0.0040894,7.0628662,0
64,1779177894310165573,0,0,1,-544,1851488,22082,-42832,182359,-1226,-88763,-21107,1851488,-0.0020752,7.0628662,0
65,1779177894315174751,0,0,1,-256,1851488,21922,-43269,187760,-1268,-87071,-20730,1851488,-0.0009766,7.0628662,0
66,1779177894320285881,0,0,1,128,1851488,21752,-43704,193278,-1350,-85230,-20342,1851488,0.0004883,7.0628662,0
67,1779177894325322707,0,0,1,16,1851488,21577,-44123,200162,-1437,-83114,-20394,1851488,0.0000610,7.0628662,0
68,1779177894330109386,0,0,2,160,1851488,21402,-44513,208114,-1517,-81502,-19822,1851488,0.0006104,7.0628662,0
69,1779177894335177061,0,0,1,480,1851488,21210,-44920,208114,-1517,-81502,-19124,1851488,0.0018311,7.0628662,0
70,1779177894340174846,0,0,1,864,1851488,20318,-42690,221526,-1702,-79982,-18423,1851488,0.0032959,7.0628662,0
71,1779177894345381562,0,0,1,1120,1851488,20116,-43106,221526,-1702,-79982,-17974,1851488,0.0042725,7.0628662,0
72,1779177894350721719,0,0,2,1248,1851488,19902,-43530,231851,-1893,-79417,-17606,1851488,0.0047607,7.0628662,0
73,1779177894355287628,0,0,1,1680,1851488,19714,-43895,236836,-1946,-79852,-17229,1851488,0.0064087,7.0628662,0
74,1779177894360291589,0,0,1,1680,1851488,18816,-41721,240337,-2010,-79406,-16798,1851488,0.0064087,7.0628662,0
75,1779177894365206910,0,0,1,1904,1851488,18617,-42115,242651,-2062,-80039,-16527,1851488,0.0072632,7.0628662,0
76,1779177894370164983,0,0,1,2320,1851488,18409,-42517,246924,-2122,-81074,-16248,1851488,0.0088501,7.0628662,0
77,1779177894375176752,0,0,1,2608,1851488,18194,-42928,251315,-2178,-82009,-15872,1851488,0.0099487,7.0628662,0
78,1779177894380164650,0,0,1,2864,1851488,17977,-43340,252562,-2196,-82680,-15358,1851488,0.0109253,7.0628662,0
79,1779177894385304037,0,0,1,2832,1851488,17079,-41226,255113,-2191,-82098,-14768,1851488,0.0108032,7.0628662,0
80,1779177894390424192,0,0,1,2976,1851488,16860,-41642,255113,-2191,-82098,-14350,1851488,0.0113525,7.0628662,0
81,1779177894395249367,0,0,1,3296,1851488,16649,-42029,260751,-2243,-80225,-13950,1851488,0.0125732,7.0628662,0
82,1779177894400299569,0,0,1,3488,1851488,16426,-42425,262234,-2225,-78571,-13516,1851488,0.0133057,7.0628662,0
83,1779177894405175689,0,0,1,3600,1851488,15550,-40333,262234,-2225,-78571,-13027,1851488,0.0137329,7.0628662,0
84,1779177894410172035,0,0,1,3920,1851488,15329,-40722,274103,-2149,-77827,-12715,1851488,0.0149536,7.0628662,0
85,1779177894415177692,0,0,2,4144,1851488,15094,-41114,288464,-2094,-78467,-12391,1851488,0.0158081,7.0628662,0
86,1779177894420168726,0,0,1,4384,1851488,14852,-41510,295882,-2013,-79250,-11963,1851488,0.0167236,7.0628662,0
87,1779177894425162415,0,0,1,4224,1851488,13965,-39483,299620,-1898,-80001,-11403,1851488,0.0161133,7.0628662,0
88,1779177894430173577,0,0,1,4496,1851488,13723,-39889,299620,-1898,-80001,-11012,1851488,0.0171509,7.0628662,0
89,1779177894435251299,0,0,2,4688,1851488,13469,-40306,309412,-1763,-81068,-10602,1851488,0.0178833,7.0628662,0
90,1779177894440343870,0,0,2,4592,1851488,13210,-40733,321755,-1452,-83809,-10169,1851488,0.0175171,7.0628662,0
91,1779177894445261494,0,0,1,4640,1851488,12952,-41156,321755,-1452,-83809,-10169,1851488,0.0177002,7.0628662,0
92,1779177894450236879,0,0,1,4768,1851488,12083,-39224,336057,-1067,-87760,-9860,1851488,0.0181885,7.0628662,0
93,1779177894455163368,0,0,1,4896,1851488,11826,-39663,336057,-1067,-87760,-9545,1851488,0.0186768,7.0628662,0
94,1779177894460316739,0,0,1,4896,1851488,10939,-37776,342169,-852,-89112,-9139,1851488,0.0186768,7.0628662,0
95,1779177894465163131,0,0,1,4960,1851488,10688,-38194,348281,-605,-88375,-8912,1851488,0.0189209,7.0628662,0
96,1779177894470166549,0,0,2,4784,1851488,10424,-38606,360921,-171,-82355,-8663,1851488,0.0182495,7.0628662,0
97,1779177894475178318,0,0,1,4896,1851488,9565,-36742,360921,-171,-82355,-8341,1851488,0.0186768,7.0628662,0
98,1779177894480170632,0,0,2,4720,1851488,9307,-37112,369170,148,-74218,-8196,1851488,0.0180054,7.0628662,0
99,1779177894485202337,0,0,1,4864,1851488,9042,-37473,369170,148,-74218,-8013,1851488,0.0185547,7.0628662,0
100,1779177894490453470,0,0,1,5328,1851488,8763,-37843,372315,256,-71574,-7708,1851488,0.0203247,7.0628662,0
101,1779177894495188148,0,0,1,5120,1851488,7939,-35950,378486,426,-72268,-7518,1851488,0.0195312,7.0628662,0
102,1779177894500176014,0,0,2,5344,1851488,7680,-36320,382462,550,-74339,-7257,1851488,0.0203857,7.0628662,0
103,1779177894505182215,0,0,1,5232,1851488,6850,-34521,382462,550,-74339,-6853,1851488,0.0199585,7.0628662,0
104,1779177894510175073,0,0,2,5232,1851488,6598,-34900,389821,894,-75926,-6584,1851488,0.0199585,7.0628662,0
105,1779177894515323196,0,0,1,5072,1851488,5774,-33168,393737,1091,-74207,-6281,1851488,0.0193481,7.0628662,0
106,1779177894520169587,0,0,1,5152,1851488,5536,-33516,393737,1091,-74207,-6145,1851488,0.0196533,7.0628662,0
107,1779177894525227086,0,0,2,5408,1851488,5283,-33865,401630,1410,-68840,-5972,1851488,0.0206299,7.0628662,0
108,1779177894530175399,0,0,1,5056,1851488,4482,-32099,401630,1410,-68840,-5675,1851488,0.0192871,7.0628662,0
109,1779177894535192288,0,0,2,5088,1851488,4238,-32420,409285,1654,-63933,-5529,1851488,0.0194092,7.0628662,0
110,1779177894540445021,0,0,1,5296,1851488,3978,-32749,409285,1654,-63933,-5343,1851488,0.0202026,7.0628662,0
111,1779177894545162323,0,0,1,5296,1851488,3216,-31020,414151,1745,-62656,-5296,1851488,0.0202026,7.0628662,0
112,1779177894550171532,0,0,1,5152,1851488,2975,-31332,418068,1828,-62602,-5179,1851488,0.0196533,7.0628662,0
113,1779177894555172230,0,0,2,4720,1851488,2206,-29645,425901,2026,-62047,-4895,1851488,0.0180054,7.0628662,0
114,1779177894560175295,0,0,2,4672,1851488,1973,-29956,429224,2135,-62182,-4735,1851488,0.0178223,7.0628662,0
115,1779177894565192953,0,0,1,4848,1851488,1735,-30272,432369,2256,-62902,-4519,1851488,0.0184937,7.0628662,0
116,1779177894570161394,0,0,2,4416,1851488,989,-28626,432369,2256,-62902,-4167,1851488,0.0168457,7.0628662,0
117,1779177894575170156,0,0,3,4848,1851488,761,-28958,439312,2566,-66210,-3976,1851488,0.0184937,7.0628662,0
118,1779177894580163269,0,0,1,4688,1851488,25,-27369,439312,2566,-66210,-3743,1851488,0.0178833,7.0628662,0
119,1779177894585179775,0,0,2,4832,1851488,-195,-27720,446018,2960,-69950,-3655,1851488,0.0184326,7.0628662,0
120,1779177894590172632,0,0,1,5008,1851488,-417,-28074,446018,2960,-69950,-3497,1851488,0.0191040,7.0628662,0
121,1779177894595169714,0,0,1,4896,1851488,-1130,-26525,449163,3180,-70895,-3171,1851488,0.0186768,7.0628662,0
122,1779177894600243500,0,0,2,4768,1851488,-1347,-26881,456462,3662,-70077,-2972,1851488,0.0181885,7.0628662,0
123,1779177894605186213,0,0,1,4672,1839360,-2047,-25343,459726,3892,-69063,-2742,1851488,0.0178223,7.0166016,0
124,1779177894610255583,0,0,2,4656,1766320,-2254,-25686,463465,4109,-67819,-2692,1839360,0.0177612,6.7379761,0
125,1779177894615311577,0,0,2,3312,1756880,-2945,-24183,467085,4307,-66871,-2598,1766320,0.0126343,6.7019653,0
126,1779177894620480213,0,0,1,3392,1777216,-3147,-24526,467085,4307,-66871,-2632,1756880,0.0129395,6.7795410,0
127,1779177894625177003,0,0,1,3600,1778912,-3812,-23022,470586,4488,-66340,-2563,1777216,0.0137329,6.7860107,0
128,1779177894630171300,0,0,2,3696,1718288,-3999,-23359,474918,4645,-67007,-2592,1778912,0.0140991,6.5547485,0
129,1779177894635222718,0,0,2,2560,1713376,-4667,-21902,478122,4811,-67486,-2495,1718288,0.0097656,6.5360107,0
130,1779177894640193591,0,0,2,2896,1663824,-4844,-22245,484175,5151,-68891,-2479,1713376,0.0110474,6.3469849,0
131,1779177894645174289,0,0,1,2448,1650032,-5025,-22589,484175,5151,-68891,-2359,1663824,0.0093384,6.2943726,0
132,1779177894650299244,0,0,1,1936,1643024,-5666,-21172,489635,5527,-67954,-2054,1650032,0.0073853,6.2676392,0
133,1779177894655294405,0,0,1,1872,1656384,-6301,-19760,492009,5697,-66179,-1899,1643024,0.0071411,6.3186035,0
134,1779177894660437728,0,0,1,2064,1643680,-6465,-20089,492009,5697,-66179,-2028,1656384,0.0078735,6.2701416,0
135,1779177894665173143,0,0,2,2000,1590112,-6618,-20385,497883,5951,-62420,-2121,1643680,0.0076294,6.0657959,0
136,1779177894670166352,0,0,2,1440,1552784,-6784,-20685,500376,6048,-60084,-2029,1590112,0.0054932,5.9234009,0
137,1779177894675172010,0,0,2,880,1601744,-7380,-19253,500376,6048,-60084,-1739,1552784,0.0033569,6.1101685,0
138,1779177894680167203,0,0,1,1088,1608944,-7976,-17823,503462,6138,-57148,-1630,1601744,0.0041504,6.1376343,0
139,1779177894685320222,0,0,2,1152,1545376,-8124,-18087,509633,6218,-51252,-1853,1608944,0.0043945,5.8951416,0
140,1779177894690321496,0,0,1,112,1533440,-8700,-16674,512956,6175,-49422,-2347,1545376,0.0004272,5.8496094,0
141,1779177894695377650,0,0,1,160,1534576,-8836,-16917,512956,6175,-49422,-2716,1533440,0.0006104,5.8539429,0
142,1779177894700128009,0,0,2,176,1465168,-8967,-17141,518653,6030,-47351,-2778,1534576,0.0006714,5.5891724,0
143,1779177894705171299,0,0,2,-704,1476368,-9522,-15725,521205,5957,-46813,-2551,1465168,-0.0026855,5.6318970,0
144,1779177894710170332,0,0,1,-864,1497312,-10072,-14330,523460,5893,-46912,-2451,1476368,-0.0032959,5.7117920,0
145,1779177894715520570,0,0,1,-624,1471792,-10197,-14584,526605,5823,-47521,-2644,1497312,-0.0023804,5.6144409,0
146,1779177894720213136,0,0,14,19568,1630608,-121188,-36922,528682,5765,-48998,-2810,1471792,0.0746460,6.2202759,0
147,1779177894725164808,0,0,10,41952,1368992,-121522,-37101,530641,7206,-36039,19594,1630608,0.1600342,5.2222900,0
148,1779177894730172450,0,0,6,51264,1074544,-121947,-35594,533074,9903,-15502,41998,1368992,0.1955566,4.0990601,0
149,1779177894735250620,0,0,3,52656,1073760,-122352,-33983,534973,13702,9350,64402,1074544,0.2008667,4.0960693,0
150,1779177894740117940,0,0,6,64416,964048,-122601,-33819,536990,18220,33769,86806,1073760,0.2457275,3.6775513,0
151,1779177894745221551,0,0,8,79840,1382384,-125593,-16079,536990,18220,33769,102236,964048,0.3045654,5.2733765,0
152,1779177894750182216,0,0,14,79840,734576,-125618,-15734,541500,27757,69386,102236,1382384,0.3045654,2.8021851,0
153,1779177894755076736,0,0,7,79840,996080,-126330,-12665,544823,31688,74240,102236,734576,0.3045654,3.7997437,0
154,1779177894760295388,0,0,4,79840,926240,-126281,-12249,544823,31688,74240,102236,996080,0.3045654,3.5333252,0
155,1779177894765183733,0,0,1,79840,877200,-126215,-11865,547969,35558,79750,102236,926240,0.3045654,3.3462524,0
156,1779177894770301391,0,0,1,79840,861056,-127424,-13790,551114,38880,78543,102236,877200,0.3045654,3.2846680,0
157,1779177894775542252,0,0,1,79840,816160,-127338,-13359,557048,45277,82218,102236,861056,0.3045654,3.1134033,0
158,1779177894780385891,0,0,1,79840,763072,-127242,-12976,559837,47951,79165,102236,816160,0.3045654,2.9108887,0
159,1779177894785270171,0,0,1,79840,770688,-127810,-9952,559837,47951,79165,102236,763072,0.3045654,2.9399414,0
160,1779177894790259765,0,0,1,79840,779024,-128004,-8268,562507,50522,78097,102236,770688,0.3045654,2.9717407,0
161,1779177894795278543,0,0,1,79840,768208,-127814,-7860,565000,53006,79061,102236,779024,0.3045654,2.9304810,0
162,1779177894800391625,0,0,1,79552,747952,-127604,-7423,567433,55343,81163,101948,768208,0.3034668,2.8532104,0
163,1779177894805167904,0,0,1,78992,719216,-127733,-5703,571349,59378,87181,101384,747952,0.3013306,2.7435913,0
164,1779177894810174426,0,0,1,78016,689552,-127487,-5232,573486,61115,94081,100404,719216,0.2976074,2.6304321,0
165,1779177894815520247,0,0,1,76816,700320,-127534,-3386,573486,61115,94081,99207,689552,0.2930298,2.6715088,0
166,1779177894820206125,0,0,2,75520,698048,-128254,-7691,578174,63777,114075,97917,700320,0.2880859,2.6628418,0
167,1779177894825216199,0,0,1,76176,687392,-128011,-7033,580904,64830,131432,98572,698048,0.2905884,2.6221924,0
168,1779177894830223136,0,0,1,77024,681712,-128089,-5002,584108,65676,151609,99415,687392,0.2938232,2.6005249,0
169,1779177894835189913,0,0,2,77024,658336,-128148,-2889,587491,66234,172317,99420,681712,0.2938232,2.5113525,0
170,1779177894840211731,0,0,1,75232,651664,-127842,-1923,587491,66234,172317,97627,658336,0.2869873,2.4859009,0
171,1779177894845161292,0,0,1,72720,641728,-127530,-883,590814,66405,192357,95110,651664,0.2774048,2.4479980,0
172,1779177894850221926,0,0,1,70160,606912,-127512,1500,598172,65565,227365,92551,641728,0.2676392,2.3151855,0
173,1779177894855247104,0,0,2,67456,612416,-127163,2718,598172,65565,227365,89844,606912,0.2573242,2.3361816,0
174,1779177894860213849,0,0,1,64848,624816,-127117,5234,601139,64615,242495,87247,612416,0.2473755,2.3834839,0
175,1779177894865306580,0,0,1,62096,630176,-127044,7821,605115,61850,266334,84490,624816,0.2368774,2.4039307,0
176,1779177894870191980,0,0,4,59056,749376,-127528,4200,605115,61850,266334,81440,630176,0.2252808,2.8586426,0
177,1779177894875243526,0,0,1,58160,752448,-127176,5641,606480,60141,274765,80549,749376,0.2218628,2.8703613,0
178,1779177894880214655,0,0,1,57696,736288,-127130,8313,611465,56472,296289,80095,752448,0.2200928,2.8087158,0
179,1779177894885171832,0,0,1,56480,741184,-127079,11071,611465,56472,296289,78874,736288,0.2154541,2.8273926,0
180,1779177894890169010,0,0,1,54128,714192,-126678,12660,617696,52384,318091,76516,741184,0.2064819,2.7244263,0
181,1779177894895218956,0,0,1,51168,730640,-126568,15494,617696,52384,318091,73564,714192,0.1951904,2.7871704,0
182,1779177894900235717,0,0,1,47728,705280,-126134,17187,626657,47436,337453,70123,730640,0.1820679,2.6904297,0
183,1779177894905169406,0,0,1,43984,696064,-126004,20106,631641,44680,347102,66368,705280,0.1677856,2.6552734,0
184,1779177894910225432,0,0,4,40448,734272,-125844,23113,631641,44680,347102,62836,696064,0.1542969,2.8010254,0
185,1779177894915186769,0,0,1,36928,722352,-125674,26129,640009,38461,370240,59317,734272,0.1408691,2.7555542,0
186,1779177894920163850,0,0,5,33312,771632,-125428,23917,642917,35043,382963,55709,722352,0.1270752,2.9435425,0
187,1779177894925243173,0,0,1,31552,775184,-125261,27127,644637,31460,396809,53951,771632,0.1203613,2.9570923,0
188,1779177894930173886,0,0,1,29904,783856,-124783,29150,644637,31460,396809,52296,775184,0.1140747,2.9901733,0
189,1779177894935177047,0,0,1,27920,806480,-124585,32445,647189,24157,421164,50306,783856,0.1065063,3.0764771,0
190,1779177894940225841,0,0,1,25152,836944,-124359,35767,647189,24157,421164,47546,806480,0.0959473,3.1926880,0
191,1779177894945160042,0,0,1,21616,880576,-124136,39085,649622,20261,427972,44013,836944,0.0824585,3.3591309,0
192,1779177894950183428,0,0,3,17696,943344,-123573,41249,652174,16337,431057,40087,880576,0.0675049,3.5985718,0
193,1779177894955167581,0,0,3,14160,983712,-123301,44557,657693,8170,428952,36554,943344,0.0540161,3.7525635,0
194,1779177894960168406,0,0,3,10736,1063040,-123010,47860,657693,8170,428952,33127,983712,0.0409546,4.0551758,0
195,1779177894965177648,0,0,4,7264,1073216,-122699,51152,664398,2,424362,29662,1063040,0.0277100,4.0939941,0
196,1779177894970235114,0,0,4,3760,1132752,-122314,50897,667128,-4117,423305,26148,1073216,0.0143433,4.3211060,0
197,1779177894975235460,0,0,3,1520,1112848,-121695,53015,669561,-8113,423737,23916,1132752,0.0057983,4.2451782,0
198,1779177894980245277,0,0,3,-592,1196592,-121347,56311,671520,-12058,423037,21801,1112848,-0.0022583,4.5646362,0
199,1779177894985200374,0,0,2,-2784,1260256,-121289,60699,672647,-15887,419297,19611,1196592,-0.0106201,4.8074951,0
200,1779177894990361618,0,0,2,-5808,1290720,-120706,63854,674012,-19824,409849,16579,1260256,-0.0221558,4.9237061,0
201,1779177894995304586,0,0,6,-6160,1382496,-120002,65819,674012,-19824,409849,13153,1290720,-0.0234985,5.2738037,0
202,1779177895000179330,0,0,2,-7104,1418592,-119576,68850,675377,-23489,397660,9726,1382496,-0.0270996,5.4114990,0
203,1779177895005216444,0,0,1,-8320,1425664,-119105,71854,677454,-26982,383448,6895,1418592,-0.0317383,5.4384766,0
204,1779177895010342295,0,0,1,-9264,1383472,-118314,73673,681667,-33683,354895,4313,1425664,-0.0353394,5.2775269,0
205,1779177895015187535,0,0,1,-10832,1403008,-117829,76499,681667,-33683,354895,2068,1383472,-0.0413208,5.3520508,0
206,1779177895020191272,0,0,1,-12592,1390832,-117367,80335,686177,-39500,336015,-665,1403008,-0.0480347,5.3056030,0
207,1779177895025243170,0,0,1,-14128,1403312,-116793,83114,686177,-39500,336015,-3639,1390832,-0.0538940,5.3532104,0
208,1779177895030192539,0,0,2,-15056,1397568,-115930,84656,688076,-42363,325062,-6672,1403312,-0.0574341,5.3312988,0
209,1779177895035225493,0,0,1,-16656,1393808,-115607,88403,692171,-47692,293658,-9202,1397568,-0.0635376,5.3169556,0
210,1779177895040514674,0,0,1,-18944,1390032,-114423,92296,694485,-50231,270834,-11872,1393808,-0.0722656,5.3025513,0
211,1779177895044929829,0,0,2,-19616,1395888,-113572,93406,694485,-50231,270834,-15133,1390032,-0.0748291,5.3248901,0
212,1779177895050205217,0,0,2,-20416,1388448,-112812,95696,697927,-54062,219840,-17816,1395888,-0.0778809,5.2965088,0
