idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1778515493824155281,0,0,13,8400,1851488,-22797,-8718,0,0,-434,0,0,0.0320435,7.0628662,0
2,1778515493827411165,0,0,2,22368,1851488,-22797,-8718,0,0,-253,0,1851488,0.0853271,7.0628662,0
3,1778515493836130100,0,0,1,22368,1851488,-22797,-8714,0,0,-131,0,1851488,0.0853271,7.0628662,0
4,1778515493851519493,0,0,1,22368,1851488,-22797,-8715,0,0,-22,0,1851488,0.0853271,7.0628662,0
5,1778515493872547810,0,0,1,22368,1851488,-22797,-8713,0,0,117,0,1851488,0.0853271,7.0628662,0
6,1778515493882317671,0,0,1,22368,1851488,-22797,-8712,0,0,53,0,1851488,0.0853271,7.0628662,0
7,1778515493888812671,0,0,1,22368,1851488,-22797,-8712,0,0,-10,0,1851488,0.0853271,7.0628662,0
8,1778515493894034406,0,0,1,22368,1851488,-22797,-8712,0,0,-37,0,1851488,0.0853271,7.0628662,0
9,1778515493897432372,0,0,1,22368,1851488,-22797,-8712,0,0,-25,0,1851488,0.0853271,7.0628662,0
10,1778515493901741038,0,0,1,22368,1851488,-22797,-8712,0,0,-22,0,1851488,0.0853271,7.0628662,0
11,1778515493906029128,0,0,1,22368,1851488,-22797,-8713,0,0,-52,0,1851488,0.0853271,7.0628662,0
12,1778515493911025100,0,0,1,22368,1851488,-22797,-8713,0,0,-94,0,1851488,0.0853271,7.0628662,0
13,1778515493919291005,0,0,1,22368,1851488,-22797,-8714,0,0,-107,0,1851488,0.0853271,7.0628662,0
14,1778515493924326529,0,0,1,22368,1851488,-22797,-8715,0,0,-21,0,1851488,0.0853271,7.0628662,0
15,1778515493934296296,0,0,1,22368,1851488,-22797,-8715,0,0,14,0,1851488,0.0853271,7.0628662,0
16,1778515493939105769,0,0,1,22368,1851488,-22797,-8715,0,0,9,0,1851488,0.0853271,7.0628662,0
17,1778515493942108402,0,0,1,22368,1851488,-22797,-8714,0,0,31,0,1851488,0.0853271,7.0628662,0
18,1778515493945897702,0,0,1,22368,1851488,-22797,-8714,0,0,47,0,1851488,0.0853271,7.0628662,0
19,1778515493950886889,0,0,1,22368,1851488,-22797,-8714,0,0,9,0,1851488,0.0853271,7.0628662,0
20,1778515493955954062,0,0,1,22368,1851488,-22797,-8715,0,0,-105,0,1851488,0.0853271,7.0628662,0
21,1778515493960900177,0,0,1,22368,1851488,-22797,-8716,0,0,-212,0,1851488,0.0853271,7.0628662,0
22,1778515493965909333,0,0,1,22368,1851488,-22797,-8717,0,0,-275,0,1851488,0.0853271,7.0628662,0
23,1778515493970943258,0,0,1,22368,1851488,-22797,-8718,0,0,-287,0,1851488,0.0853271,7.0628662,0
24,1778515493975877725,0,0,1,22368,1851488,-22797,-8720,0,0,-308,0,1851488,0.0853271,7.0628662,0
25,1778515493980910689,0,0,1,22368,1851488,-22797,-8722,0,0,-328,0,1851488,0.0853271,7.0628662,0
26,1778515493985895781,0,0,1,22368,1851488,-22797,-8722,0,0,-279,0,1851488,0.0853271,7.0628662,0
27,1778515493990884680,0,0,1,22368,1851488,-22797,-8723,0,0,-181,0,1851488,0.0853271,7.0628662,0
28,1778515493995900940,0,0,1,22368,1851488,-22797,-8723,0,0,-100,0,1851488,0.0853271,7.0628662,0
29,1778515494000912240,0,0,1,22368,1851488,-22797,-8724,0,0,-76,0,1851488,0.0853271,7.0628662,0
30,1778515494005900276,0,0,1,22368,1851488,-22797,-8724,0,0,-100,0,1851488,0.0853271,7.0628662,0
31,1778515494011027546,0,0,1,22368,1851488,-22797,-8725,0,0,-108,0,1851488,0.0853271,7.0628662,0
32,1778515494015947676,0,0,1,22368,1851488,-22797,-8726,0,0,-39,0,1851488,0.0853271,7.0628662,0
33,1778515494021010561,0,0,1,22368,1851488,-22797,-8726,0,0,92,0,1851488,0.0853271,7.0628662,0
34,1778515494025918787,0,0,1,22368,1851488,-22797,-8725,0,0,239,0,1851488,0.0853271,7.0628662,0
35,1778515494030925159,0,0,1,22368,1851488,-22797,-8723,0,0,298,0,1851488,0.0853271,7.0628662,0
36,1778515494035971468,0,0,1,22368,1851488,-22797,-8724,0,0,219,0,1851488,0.0853271,7.0628662,0
37,1778515494040966159,0,0,1,22368,1851488,-22797,-8724,0,0,84,0,1851488,0.0853271,7.0628662,0
38,1778515494045949843,0,0,1,22368,1851488,-22797,-8724,0,0,-59,0,1851488,0.0853271,7.0628662,0
39,1778515494050932694,0,0,1,22368,1851488,-22797,-8725,0,0,-157,0,1851488,0.0853271,7.0628662,0
40,1778515494055968603,0,0,1,22368,1851488,-22797,-8726,0,0,-150,0,1851488,0.0853271,7.0628662,0
41,1778515494060932190,0,0,1,22368,1851488,-22797,-8726,0,0,-82,0,1851488,0.0853271,7.0628662,0
42,1778515494065962338,0,0,1,22368,1851488,-22797,-8725,0,0,-20,0,1851488,0.0853271,7.0628662,0
43,1778515494071106568,0,0,1,22368,1851488,-22797,-8725,0,0,42,0,1851488,0.0853271,7.0628662,0
44,1778515494075962953,0,0,1,22368,1851488,-22797,-8724,0,0,71,0,1851488,0.0853271,7.0628662,0
45,1778515494080926157,0,0,1,22368,1851488,-22797,-8724,0,0,35,0,1851488,0.0853271,7.0628662,0
46,1778515494085960017,0,0,1,22368,1851488,-22797,-8725,0,0,-37,0,1851488,0.0853271,7.0628662,0
47,1778515494090909396,0,0,1,22368,1851488,-22797,-8726,0,0,-108,0,1851488,0.0853271,7.0628662,0
48,1778515494096004409,0,0,1,22368,1851488,-22797,-8726,0,0,-132,0,1851488,0.0853271,7.0628662,0
49,1778515494101078174,0,0,1,22368,1851488,-22797,-8727,0,0,-96,0,1851488,0.0853271,7.0628662,0
50,1778515494106100066,0,0,1,22368,1851488,-22797,-8727,0,0,-73,0,1851488,0.0853271,7.0628662,0
51,1778515494111033253,0,0,1,22368,1851488,-22797,-8728,0,0,-112,0,1851488,0.0853271,7.0628662,0
52,1778515494115990248,0,0,1,22368,1851488,-22797,-8728,0,0,-156,0,1851488,0.0853271,7.0628662,0
53,1778515494121066573,0,0,1,22368,1851488,-22797,-8729,0,0,-83,0,1851488,0.0853271,7.0628662,0
