idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779703695339596719,0,0,9,-16528,1851488,39803,42526,0,0,90,0,0,-0.0630493,7.0628662,0
2,1779703695344621578,0,0,3,-14560,1851488,39803,42527,0,0,77,-22405,1851488,-0.0555420,7.0628662,0
3,1779703695349654309,0,0,1,-15776,1851488,39803,42527,0,0,20,-26140,1851488,-0.0601807,7.0628662,0
4,1779703695354558298,0,0,2,-22432,1851488,39803,42527,0,0,-27,-44811,1851488,-0.0855713,7.0628662,0
5,1779703695359587413,0,0,3,-26176,1851488,39803,42527,0,0,-48,-48545,1851488,-0.0998535,7.0628662,0
6,1779703695364632881,0,0,6,-43200,1851488,39803,42526,0,0,-133,-65570,1851488,-0.1647949,7.0628662,0
7,1779703695369802867,0,0,1,-45424,1851488,39803,42524,0,0,-278,-67801,1851488,-0.1732788,7.0628662,0
8,1779703695374846319,0,0,5,-58048,1851488,39803,42523,0,0,-278,-80428,1851488,-0.2214355,7.0628662,0
9,1779703695379429076,0,0,2,-59072,1851488,39803,42522,0,0,-118,-81442,1851488,-0.2253418,7.0628662,0
10,1779703695384441166,0,0,1,-69152,1851488,39803,42524,0,0,393,-91522,1851488,-0.2637939,7.0628662,0
11,1779703695389685332,0,0,6,-68736,1851488,39803,42528,0,0,784,-91110,1851488,-0.2622070,7.0628662,0
12,1779703695394852662,0,0,3,-77328,1851488,39803,42531,0,0,784,-99707,1851488,-0.2949829,7.0628662,0
13,1779703695400102812,0,0,4,-75312,1851488,39803,42528,0,0,-456,-97683,1851488,-0.2872925,7.0628662,0
14,1779703695404838024,0,0,6,-79856,1851488,39803,42525,0,0,-732,-102236,1851488,-0.3046265,7.0628662,0
15,1779703695409860867,0,0,6,-79424,1851488,39803,42525,0,0,85,-101801,1851488,-0.3029785,7.0628662,0
16,1779703695414610672,0,0,1,-79856,1851488,39803,42532,0,0,1418,-102236,1851488,-0.3046265,7.0628662,0
17,1779703695419591401,0,0,1,-79856,1851488,39803,42543,0,0,2188,-102236,1851488,-0.3046265,7.0628662,0
18,1779703695424555361,0,0,1,-79856,1851488,39803,42553,0,0,2080,-102236,1851488,-0.3046265,7.0628662,0
19,1779703695429593308,0,0,1,-79856,1851488,39803,42561,0,0,1468,-102236,1851488,-0.3046265,7.0628662,0
20,1779703695434623287,0,0,1,-79856,1851488,39803,42564,0,0,725,-102236,1851488,-0.3046265,7.0628662,0
21,1779703695439552557,0,0,1,-79856,1851488,39803,42565,0,0,71,-102236,1851488,-0.3046265,7.0628662,0
22,1779703695444549671,0,0,1,-79856,1851488,39803,42563,0,0,-362,-102236,1851488,-0.3046265,7.0628662,0
23,1779703695449598883,0,0,1,-79856,1851488,39803,42560,0,0,-606,-102236,1851488,-0.3046265,7.0628662,0
24,1779703695454661472,0,0,1,-79856,1851488,39803,42556,0,0,-734,-102236,1851488,-0.3046265,7.0628662,0
25,1779703695459602903,0,0,1,-79856,1851488,39803,42553,0,0,-740,-102236,1851488,-0.3046265,7.0628662,0
26,1779703695464652627,0,0,1,-79856,1851488,39803,42549,0,0,-604,-102236,1851488,-0.3046265,7.0628662,0
27,1779703695469596074,0,0,1,-79856,1851488,39803,42548,0,0,-296,-102236,1851488,-0.3046265,7.0628662,0
28,1779703695474659430,0,0,1,-79856,1851488,39803,42549,0,0,-296,-102236,1851488,-0.3046265,7.0628662,0
29,1779703695479625054,0,0,1,-79856,1851488,39803,42553,0,0,750,-102236,1851488,-0.3046265,7.0628662,0
30,1779703695484634104,0,0,1,-79856,1851488,39803,42558,0,0,1110,-102236,1851488,-0.3046265,7.0628662,0
31,1779703695489619313,0,0,1,-79856,1851488,39803,42563,0,0,1110,-102236,1851488,-0.3046265,7.0628662,0
32,1779703695495019135,0,0,1,-79856,1851488,39803,42567,0,0,711,-102236,1851488,-0.3046265,7.0628662,0
33,1779703695499610820,0,0,1,-79856,1851488,39803,42570,0,0,588,-102236,1851488,-0.3046265,7.0628662,0
34,1779703695504584892,0,0,1,-79856,1851488,39803,42572,0,0,382,-102236,1851488,-0.3046265,7.0628662,0
35,1779703695509565333,0,0,1,-79856,1851488,39803,42570,0,0,-283,-102236,1851488,-0.3046265,7.0628662,0
36,1779703695514692789,0,0,1,-79856,1851488,39803,42566,0,0,-868,-102236,1851488,-0.3046265,7.0628662,0
37,1779703695519614827,0,0,1,-79856,1851488,39803,42559,0,0,-1342,-102236,1851488,-0.3046265,7.0628662,0
38,1779703695524896051,0,0,2,-79856,1851488,39832,42495,40590,-1082,-12201,-102236,1851488,-0.3046265,7.0628662,0
39,1779703695529738404,0,0,1,-79856,1851488,39122,45154,41896,-1163,-13162,-102236,1851488,-0.3046265,7.0628662,0
40,1779703695534750111,0,0,1,-79856,1851488,39153,45077,43201,-1246,-15415,-102236,1851488,-0.3046265,7.0628662,0
41,1779703695539847453,0,0,1,-79856,1851488,39185,44980,44448,-1310,-19119,-102236,1851488,-0.3046265,7.0628662,0
42,1779703695544858615,0,0,1,-79856,1851488,39217,44864,44448,-1310,-19119,-102236,1851488,-0.3046265,7.0628662,0
43,1779703695549924564,0,0,1,-79856,1851488,39254,44724,51213,-1506,-27600,-102236,1851488,-0.3046265,7.0628662,0
44,1779703695554647456,0,0,1,-79856,1851488,39291,44581,55723,-1573,-30279,-102236,1851488,-0.3046265,7.0628662,0
45,1779703695559833315,0,0,1,-79856,1851488,39334,44408,55723,-1573,-30279,-102236,1851488,-0.3046265,7.0628662,0
46,1779703695564812988,0,0,1,-79856,1851488,39376,44241,60945,-1846,-33445,-102236,1851488,-0.3046265,7.0628662,0
47,1779703695569683279,0,0,1,-79856,1851488,39419,44081,63615,-1903,-32861,-102236,1851488,-0.3046265,7.0628662,0
48,1779703695574646439,0,0,1,-79856,1851488,39463,43922,64743,-1978,-32115,-102236,1851488,-0.3046265,7.0628662,0
49,1779703695579655425,0,0,1,-79856,1851488,39507,43763,65395,-2030,-31650,-102236,1851488,-0.3046265,7.0628662,0
50,1779703695584842084,0,0,1,-79856,1851488,39553,43589,66642,-2136,-33491,-102236,1851488,-0.3046265,7.0628662,0
51,1779703695589622674,0,0,1,-79856,1851488,39600,43408,71448,-2176,-37980,-102236,1851488,-0.3046265,7.0628662,0
52,1779703695594762387,0,0,1,-79856,1851488,39654,43157,80468,-2587,-48817,-102236,1851488,-0.3046265,7.0628662,0
53,1779703695599644071,0,0,1,-79856,1851488,39709,42863,85216,-2730,-60317,-102236,1851488,-0.3046265,7.0628662,0
54,1779703695604246444,0,0,1,-79856,1851488,39764,42530,85216,-2730,-60317,-102236,1851488,-0.3046265,7.0628662,0
55,1779703695609608248,0,0,1,-79856,1851488,39829,42064,95660,-3274,-86872,-102236,1851488,-0.3046265,7.0628662,0
56,1779703695614635443,0,0,1,-79856,1851488,39892,41585,100586,-3418,-95393,-102236,1851488,-0.3046265,7.0628662,0
57,1779703695619604555,0,0,1,-79856,1851488,39232,43770,104087,-3537,-102363,-102236,1851488,-0.3046265,7.0628662,0
58,1779703695624565603,0,0,1,-79856,1851488,39304,43224,109843,-3753,-110062,-102236,1851488,-0.3046265,7.0628662,0
