idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779174335083243993,0,0,11,-9776,1851488,27100,-42055,0,0,-118,0,0,-0.0372925,7.0628662,0
2,1779174335088299496,0,0,4,5440,1851488,27100,-42056,0,0,-175,0,1851488,0.0207520,7.0628662,0
3,1779174335093234329,0,0,1,5440,1851488,27100,-42056,0,0,-154,0,1851488,0.0207520,7.0628662,0
4,1779174335098220426,0,0,1,5312,1851488,27100,-42057,0,0,-155,0,1851488,0.0202637,7.0628662,0
5,1779174335103256250,0,0,1,5280,1851488,27100,-42058,0,0,-236,0,1851488,0.0201416,7.0628662,0
6,1779174335108201803,0,0,1,5248,1851488,27100,-42060,0,0,-302,0,1851488,0.0200195,7.0628662,0
7,1779174335113175707,0,0,1,5312,1851488,27100,-42061,0,0,-228,0,1851488,0.0202637,7.0628662,0
8,1779174335118178444,0,0,1,5408,1851488,27100,-42062,0,0,-119,0,1851488,0.0206299,7.0628662,0
9,1779174335123242907,0,0,1,5312,1851488,27100,-42062,0,0,-102,0,1851488,0.0202637,7.0628662,0
10,1779174335128186956,0,0,1,5280,1851488,27100,-42063,0,0,-140,0,1851488,0.0201416,7.0628662,0
11,1779174335133597177,0,0,1,5328,1851488,27100,-42064,0,0,-177,0,1851488,0.0203247,7.0628662,0
12,1779174335138157421,0,0,1,5296,1851488,27100,-42065,0,0,-179,0,1851488,0.0202026,7.0628662,0
13,1779174335143186173,0,0,1,5392,1851488,27100,-42065,0,0,-139,0,1851488,0.0205688,7.0628662,0
14,1779174335148185710,0,0,1,5392,1851488,27100,-42066,0,0,-88,0,1851488,0.0205688,7.0628662,0
15,1779174335153219358,0,0,1,5392,1851488,27100,-42066,0,0,-81,0,1851488,0.0205688,7.0628662,0
16,1779174335158180398,0,0,1,5392,1851488,27100,-42067,0,0,-94,0,1851488,0.0205688,7.0628662,0
17,1779174335163181919,0,0,1,5392,1851488,27100,-42067,0,0,-88,0,1851488,0.0205688,7.0628662,0
18,1779174335168178191,0,0,1,5328,1851488,27100,-42067,0,0,-72,0,1851488,0.0203247,7.0628662,0
19,1779174335173220959,0,0,1,5344,1851488,27100,-42068,0,0,-45,0,1851488,0.0203857,7.0628662,0
20,1779174335178188272,0,0,1,5376,1851488,27100,-42068,0,0,-43,0,1851488,0.0205078,7.0628662,0
21,1779174335183162016,0,0,1,5360,1851488,27100,-42068,0,0,-113,0,1851488,0.0204468,7.0628662,0
22,1779174335188176496,0,0,1,5312,1851488,27100,-42069,0,0,-207,0,1851488,0.0202637,7.0628662,0
23,1779174335193180193,0,0,1,5344,1851488,27100,-42071,0,0,-256,0,1851488,0.0203857,7.0628662,0
24,1779174335198211281,0,0,1,5376,1851488,27100,-42072,0,0,-263,0,1851488,0.0205078,7.0628662,0
25,1779174335203233505,0,0,1,5376,1851488,27100,-42073,0,0,-258,0,1851488,0.0205078,7.0628662,0
26,1779174335208179602,0,0,1,5376,1851488,27100,-42075,0,0,-251,0,1851488,0.0205078,7.0628662,0
27,1779174335213231426,0,0,1,5392,1851488,27100,-42076,0,0,-237,0,1851488,0.0205688,7.0628662,0
28,1779174335218815468,0,0,1,5328,1851488,27100,-42077,0,0,-217,0,1851488,0.0203247,7.0628662,0
29,1779174335223253026,0,0,1,5328,1851488,27100,-42078,0,0,-201,0,1851488,0.0203247,7.0628662,0
30,1779174335228188563,0,0,1,5328,1851488,27100,-42079,0,0,-197,0,1851488,0.0203247,7.0628662,0
31,1779174335233864189,0,0,1,5360,1851488,27100,-42080,0,0,-152,0,1851488,0.0204468,7.0628662,0
32,1779174335238161044,0,0,1,5520,1851488,27100,-42080,0,0,35,0,1851488,0.0210571,7.0628662,0
33,1779174335243181444,0,0,1,5440,1851488,27100,-42078,0,0,224,0,1851488,0.0207520,7.0628662,0
34,1779174335248184468,0,0,1,5408,1851488,27100,-42077,0,0,339,0,1851488,0.0206299,7.0628662,0
35,1779174335253226596,0,0,1,5408,1851488,27100,-42075,0,0,325,0,1851488,0.0206299,7.0628662,0
36,1779174335258191317,0,0,1,5408,1851488,27100,-42074,0,0,194,0,1851488,0.0206299,7.0628662,0
37,1779174335263178246,0,0,1,5424,1851488,27100,-42074,0,0,35,0,1851488,0.0206909,7.0628662,0
38,1779174335268185334,0,0,1,5360,1851488,27100,-42074,0,0,-83,0,1851488,0.0204468,7.0628662,0
39,1779174335273216614,0,0,1,5376,1851488,27100,-42075,0,0,-195,0,1851488,0.0205078,7.0628662,0
40,1779174335278177111,0,0,1,5344,1851488,27100,-42077,0,0,-286,0,1851488,0.0203857,7.0628662,0
41,1779174335283176615,0,0,1,5344,1851488,27100,-42078,0,0,-313,0,1851488,0.0203857,7.0628662,0
42,1779174335288179671,0,0,1,5360,1851488,27100,-42080,0,0,-312,0,1851488,0.0204468,7.0628662,0
43,1779174335293213287,0,0,1,5392,1851488,27100,-42081,0,0,-263,0,1851488,0.0205688,7.0628662,0
44,1779174335298202328,0,0,1,5328,1851488,27100,-42082,0,0,-161,0,1851488,0.0203247,7.0628662,0
45,1779174335303251112,0,0,1,5328,1851488,27100,-42083,0,0,-112,0,1851488,0.0203247,7.0628662,0
46,1779174335308182617,0,0,1,5296,1851488,27100,-42083,0,0,-130,0,1851488,0.0202026,7.0628662,0
47,1779174335313175561,0,0,1,5296,1851488,27100,-42084,0,0,-105,0,1851488,0.0202026,7.0628662,0
48,1779174335318170137,0,0,1,5456,1851488,27100,-42084,0,0,-46,0,1851488,0.0208130,7.0628662,0
49,1779174335323227049,0,0,1,5520,1851488,27100,-42084,0,0,-53,0,1851488,0.0210571,7.0628662,0
50,1779174335328176538,0,0,1,5536,1851488,27100,-42085,0,0,-82,0,1851488,0.0211182,7.0628662,0
51,1779174335333181418,0,0,1,5456,1851488,27100,-42085,0,0,-34,0,1851488,0.0208130,7.0628662,0
52,1779174335338174523,0,0,1,5456,1851488,27100,-42085,0,0,32,0,1851488,0.0208130,7.0628662,0
53,1779174335343155083,0,0,1,5552,1851488,27100,-42085,0,0,1,0,1851488,0.0211792,7.0628662,0
54,1779174335348221787,0,0,1,5488,1851488,27100,-42085,0,0,-106,0,1851488,0.0209351,7.0628662,0
55,1779174335353248779,0,0,1,5520,1851488,27100,-42086,0,0,-198,0,1851488,0.0210571,7.0628662,0
56,1779174335358170876,0,0,1,5456,1851488,27100,-42087,0,0,-230,0,1851488,0.0208130,7.0628662,0
57,1779174335363175276,0,0,1,5520,1851488,27100,-42088,0,0,-172,0,1851488,0.0210571,7.0628662,0
58,1779174335368176733,0,0,1,5456,1851488,27100,-42088,0,0,-34,0,1851488,0.0208130,7.0628662,0
59,1779174335373226797,0,0,1,5456,1851488,27100,-42088,0,0,87,0,1851488,0.0208130,7.0628662,0
60,1779174335378218877,0,0,1,5504,1851488,27100,-42087,0,0,100,0,1851488,0.0209961,7.0628662,0
61,1779174335383177166,0,0,1,5504,1851488,27100,-42087,0,0,63,0,1851488,0.0209961,7.0628662,0
62,1779174335388177118,0,0,1,5504,1851488,27100,-42087,0,0,97,0,1851488,0.0209961,7.0628662,0
63,1779174335393175886,0,0,1,5536,1851488,27100,-42086,0,0,191,0,1851488,0.0211182,7.0628662,0
64,1779174335398221918,0,0,1,5504,1851488,27100,-42085,0,0,223,0,1851488,0.0209961,7.0628662,0
65,1779174335403239343,0,0,1,5568,1851488,27100,-42084,0,0,118,0,1851488,0.0212402,7.0628662,0
66,1779174335408182015,0,0,1,5504,1851488,27100,-42084,0,0,-53,0,1851488,0.0209961,7.0628662,0
67,1779174335413179248,0,0,1,5504,1851488,27100,-42085,0,0,-128,0,1851488,0.0209961,7.0628662,0
68,1779174335418192928,0,0,1,5504,1851488,27100,-42085,0,0,-92,0,1851488,0.0209961,7.0628662,0
69,1779174335423316335,0,0,1,5504,1851488,27100,-42086,0,0,-85,0,1851488,0.0209961,7.0628662,0
70,1779174335428216640,0,0,1,5504,1851488,27100,-42086,0,0,-149,0,1851488,0.0209961,7.0628662,0
71,1779174335433193457,0,0,1,5504,1851488,27100,-42087,0,0,-164,0,1851488,0.0209961,7.0628662,0
72,1779174335438156930,0,0,1,5520,1851488,27100,-42088,0,0,-54,0,1851488,0.0210571,7.0628662,0
73,1779174335443174354,0,0,1,5568,1851488,27100,-42087,0,0,106,0,1851488,0.0212402,7.0628662,0
74,1779174335448180130,0,0,1,5600,1851488,27100,-42086,0,0,233,0,1851488,0.0213623,7.0628662,0
75,1779174335453229330,0,0,1,5568,1851488,27100,-42084,0,0,326,0,1851488,0.0212402,7.0628662,0
76,1779174335458191843,0,0,1,5568,1851488,27100,-42082,0,0,402,0,1851488,0.0212402,7.0628662,0
77,1779174335463175219,0,0,1,5568,1851488,27100,-42080,0,0,415,0,1851488,0.0212402,7.0628662,0
78,1779174335468189987,0,0,1,5552,1851488,27100,-42078,0,0,338,0,1851488,0.0211792,7.0628662,0
