site,kind,note,policy_width,policy_note,algebraic_worst,chosen_width,observed_max_bits,margin_bits,bits_saved_vs_worst,frac_bits,int_bits_needed,frac_bits_used,dead_low_bits,min_nonzero_raw,max_abs_raw,total_samples,obs_bits[FPGA_UDP],obs_bits[FPGA_ROS2],obs_bits[LateralPlanner],obs_bits[MPC10LapBaseline],obs_bits[MPC_10Laps]
QP_MUL    fp_QP_mul_t,MUL,,46,,52,42,45,-3,10,,,,,,10995105464320,4902622720,45,45,45,45,45
P_QP_MUL  fp_P_QP_mul_t,MUL,,53,,60,50,52,-2,10,,,,,,2206046201217624,34889297760,52,52,52,51,52
MG_QP_MUL fp_MG_QP_mul_t,MUL,,46,,46,43,45,-2,3,,,,,,9421817119920,9500372160,43,41,45,40,43
MG_K_MUL  fp_MG_K_mul_t,MUL,,36,,36,49,35,14,-13,,,,,,17174200680,6961479600,35,35,35,35,35
K_QP_MUL  fp_K_QP_mul_t,MUL,,42,,42,37,41,-4,5,,,,,,1059540910096,1310396160,41,41,41,41,41
FN_MUL    fp_fn_accum_t,MUL,,41,,42,38,40,-2,4,,,,,,488791146496,391175040,33,33,33,33,40
SUM2_QP_RAW,SUM,,28,,28,26,27,-1,2,,,,,,66913336,2303670832,27,27,27,27,27
SUM4_QP_RAW,SUM,,22,,29,22,21,1,7,,,,,,832478,25735200,21,21,21,21,21
SUM8_QP_RAW,SUM,,21,,30,21,20,1,9,,,,,,329707,15441120,20,20,20,20,20
SUM6_QP_tree,SUM,,44,QP shared with QP_ITEM,55,37,43,-6,18,,,,,,3600662131708,491398560,43,43,43,43,43
SUM6_QP_ACC (true),SUM,,44,QP shared with QP_ITEM,55,37,43,-6,18,,,,,,3605686493892,491398560,43,43,43,43,43
SUM2_P_RAW,SUM,,36,,35,34,35,-1,1,,,,,,16288967352,2309573232,35,35,35,35,35
SUM6_P_QP,SUM,,52,shared with P_QP_ITEM,63,49,51,-2,14,,,,,,690016903459236,3112190880,51,51,51,51,51
SUM2_P_QP,SUM,,44,,61,42,43,-1,19,,,,,,4217658495696,737097840,43,43,43,43,43
SUM4_P_QP,SUM,,46,,62,41,45,-4,21,,,,,,10929709540080,737097840,45,45,45,44,45
SUM2_P_MIX,SUM,,52,,51,50,51,-1,1,,,,,,677919221779248,8845174080,51,51,51,51,51
SUM4_P_MIX,SUM,,52,,52,48,51,-3,4,,,,,,677926848311162,4422587040,51,51,51,51,51
SUM8_P_MIX,SUM,,52,,53,47,51,-4,6,,,,,,625442781878708,491398560,51,51,50,50,51
SUM8_P_MIX_pupdate,SUM,,52,,53,48,51,-3,5,,,,,,687070468242232,1719894960,51,51,51,51,51
SUM2_MG_RAW,SUM,,22,,21,28,21,7,-7,,,,,,1047785,163799520,21,21,21,21,21
SUM6_MG_QP,SUM,,39,shared with MG_QP_ITEM,49,43,38,5,6,,,,,,90778318076,982797120,38,37,38,37,37
SUM2_MG_QP,SUM,,30,,47,36,29,7,11,,,,,,260038501,163799520,29,29,29,29,29
SUM4_MG_QP,SUM,,32,,48,36,31,5,12,,,,,,743918396,163799520,31,31,31,30,31
SUM2_QP_MG,SUM,,45,,47,37,44,-7,10,,,,,,6843028461036,1474195680,43,41,44,41,44
SUM2_MG_K,SUM,,37,,37,39,36,3,-2,,,,,,19313317451,1392295920,36,35,35,33,35
SUM2_K_QP,SUM,,39,,43,37,38,-1,6,,,,,,135934670634,655198080,38,38,38,38,38
SUM4_K_QP,SUM,,40,,44,37,39,-2,7,,,,,,228627608954,327599040,39,39,39,39,39
SUM8_K_QP,SUM,,40,,45,36,39,-3,9,,,,,,236328910892,163799520,39,39,39,39,39
QP_RECIP_SHIFT,SUM,,21,,40,14,20,-6,26,,,,,,428800,82043337,17,15,20,16,18
FN_RECIP_SHIFT,SUM,,23,,33,19,22,-3,14,,,,,,1398016,23161680,16,16,16,16,22
QP_DET_MUL,SUM,,44,,53,40,43,-3,13,,,,,,4360375309668,81899760,43,43,43,43,43
QP_ITEM   single product,ITEM,,43,shared with SUM6_QP_*,52,37,42,-5,15,,,,,,2198736866520,2948391360,42,42,42,42,42
P_QP_ITEM single product,ITEM,,51,shared with SUM6_P_QP,60,49,50,-1,11,,,,,,562310293230400,18673145280,50,50,50,50,50
P_MIX_ITEM single product,ITEM,,51,,50,50,50,0,0,,,,,,562519197754264,17690348160,50,50,50,50,50
MG_QP_ITEM single product,ITEM,,39,shared with SUM6_MG_QP,46,43,38,5,3,,,,,,93155540128,5896782720,38,37,38,37,37
K_QP_ITEM single product,ITEM,,38,,42,37,37,0,5,,,,,,68719250344,1310396160,37,37,37,37,37
QP_STORE  fp_QP_t,STORE,,26,,data,26,26,0,,14,11,14,0,1,33554431,6547585987,26,26,26,26,26
FN_STORE  fp_FN_t,STORE,,21,,data,21,21,0,,12,8,12,0,1,798965,1546685520,21,21,21,21,21
P_STORE   fp_P_t,STORE,,34,,data,34,34,0,,14,19,14,0,1,8589931632,9909870960,34,34,34,34,34
MG_STORE  fp_MG_t,STORE,,20,,data,20,20,0,,6,14,6,0,1,524288,2784591840,20,20,20,20,20
K_STORE   fp_K_t,STORE,,16,,data,16,16,0,,8,8,8,0,1,32768,1474195680,16,16,16,16,16
