idx,stamp_sec,stamp_nsec,stamp_ns,x_fp,y_fp,theta_fp,velocity_fp,vy_fp,omega_fp,steering_angle_fp,horizon_length_msg,ref_ey_fp_0,ref_ey_fp_1,ref_ey_fp_2,ref_ey_fp_3,ref_ey_fp_4,ref_ey_fp_5,ref_ey_fp_6,ref_ey_fp_7,ref_ey_fp_8,ref_ey_fp_9,ref_ey_fp_10,ref_ey_fp_11,ref_ey_fp_12,ref_ey_fp_13,ref_ey_fp_14,ref_ey_fp_15,ref_ey_fp_16,ref_ey_fp_17,ref_ey_fp_18,ref_ey_fp_19,ref_epsi_fp_0,ref_epsi_fp_1,ref_epsi_fp_2,ref_epsi_fp_3,ref_epsi_fp_4,ref_epsi_fp_5,ref_epsi_fp_6,ref_epsi_fp_7,ref_epsi_fp_8,ref_epsi_fp_9,ref_epsi_fp_10,ref_epsi_fp_11,ref_epsi_fp_12,ref_epsi_fp_13,ref_epsi_fp_14,ref_epsi_fp_15,ref_epsi_fp_16,ref_epsi_fp_17,ref_epsi_fp_18,ref_epsi_fp_19,ref_x_fp_0,ref_x_fp_1,ref_x_fp_2,ref_x_fp_3,ref_x_fp_4,ref_x_fp_5,ref_x_fp_6,ref_x_fp_7,ref_x_fp_8,ref_x_fp_9,ref_x_fp_10,ref_x_fp_11,ref_x_fp_12,ref_x_fp_13,ref_x_fp_14,ref_x_fp_15,ref_x_fp_16,ref_x_fp_17,ref_x_fp_18,ref_x_fp_19,ref_y_fp_0,ref_y_fp_1,ref_y_fp_2,ref_y_fp_3,ref_y_fp_4,ref_y_fp_5,ref_y_fp_6,ref_y_fp_7,ref_y_fp_8,ref_y_fp_9,ref_y_fp_10,ref_y_fp_11,ref_y_fp_12,ref_y_fp_13,ref_y_fp_14,ref_y_fp_15,ref_y_fp_16,ref_y_fp_17,ref_y_fp_18,ref_y_fp_19,ref_psi_fp_0,ref_psi_fp_1,ref_psi_fp_2,ref_psi_fp_3,ref_psi_fp_4,ref_psi_fp_5,ref_psi_fp_6,ref_psi_fp_7,ref_psi_fp_8,ref_psi_fp_9,ref_psi_fp_10,ref_psi_fp_11,ref_psi_fp_12,ref_psi_fp_13,ref_psi_fp_14,ref_psi_fp_15,ref_psi_fp_16,ref_psi_fp_17,ref_psi_fp_18,ref_psi_fp_19,ref_vx_fp_0,ref_vx_fp_1,ref_vx_fp_2,ref_vx_fp_3,ref_vx_fp_4,ref_vx_fp_5,ref_vx_fp_6,ref_vx_fp_7,ref_vx_fp_8,ref_vx_fp_9,ref_vx_fp_10,ref_vx_fp_11,ref_vx_fp_12,ref_vx_fp_13,ref_vx_fp_14,ref_vx_fp_15,ref_vx_fp_16,ref_vx_fp_17,ref_vx_fp_18,ref_vx_fp_19,ref_vy_fp_0,ref_vy_fp_1,ref_vy_fp_2,ref_vy_fp_3,ref_vy_fp_4,ref_vy_fp_5,ref_vy_fp_6,ref_vy_fp_7,ref_vy_fp_8,ref_vy_fp_9,ref_vy_fp_10,ref_vy_fp_11,ref_vy_fp_12,ref_vy_fp_13,ref_vy_fp_14,ref_vy_fp_15,ref_vy_fp_16,ref_vy_fp_17,ref_vy_fp_18,ref_vy_fp_19,ref_omega_ref_fp_0,ref_omega_ref_fp_1,ref_omega_ref_fp_2,ref_omega_ref_fp_3,ref_omega_ref_fp_4,ref_omega_ref_fp_5,ref_omega_ref_fp_6,ref_omega_ref_fp_7,ref_omega_ref_fp_8,ref_omega_ref_fp_9,ref_omega_ref_fp_10,ref_omega_ref_fp_11,ref_omega_ref_fp_12,ref_omega_ref_fp_13,ref_omega_ref_fp_14,ref_omega_ref_fp_15,ref_omega_ref_fp_16,ref_omega_ref_fp_17,ref_omega_ref_fp_18,ref_omega_ref_fp_19,ref_kappa_fp_0,ref_kappa_fp_1,ref_kappa_fp_2,ref_kappa_fp_3,ref_kappa_fp_4,ref_kappa_fp_5,ref_kappa_fp_6,ref_kappa_fp_7,ref_kappa_fp_8,ref_kappa_fp_9,ref_kappa_fp_10,ref_kappa_fp_11,ref_kappa_fp_12,ref_kappa_fp_13,ref_kappa_fp_14,ref_kappa_fp_15,ref_kappa_fp_16,ref_kappa_fp_17,ref_kappa_fp_18,ref_kappa_fp_19,ref_left_bound_fp_0,ref_left_bound_fp_1,ref_left_bound_fp_2,ref_left_bound_fp_3,ref_left_bound_fp_4,ref_left_bound_fp_5,ref_left_bound_fp_6,ref_left_bound_fp_7,ref_left_bound_fp_8,ref_left_bound_fp_9,ref_left_bound_fp_10,ref_left_bound_fp_11,ref_left_bound_fp_12,ref_left_bound_fp_13,ref_left_bound_fp_14,ref_left_bound_fp_15,ref_left_bound_fp_16,ref_left_bound_fp_17,ref_left_bound_fp_18,ref_left_bound_fp_19,ref_right_bound_fp_0,ref_right_bound_fp_1,ref_right_bound_fp_2,ref_right_bound_fp_3,ref_right_bound_fp_4,ref_right_bound_fp_5,ref_right_bound_fp_6,ref_right_bound_fp_7,ref_right_bound_fp_8,ref_right_bound_fp_9,ref_right_bound_fp_10,ref_right_bound_fp_11,ref_right_bound_fp_12,ref_right_bound_fp_13,ref_right_bound_fp_14,ref_right_bound_fp_15,ref_right_bound_fp_16,ref_right_bound_fp_17,ref_right_bound_fp_18,ref_right_bound_fp_19,e_y_fp,e_psi_fp
1,1779177349,762468915,1779177349762468915,0,0,0,0,0,-77,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442629,449441,456445,463651,471057,478690,486509,494491,502478,510406,518030,525159,532297,539433,546553,553652,560717,567742,574715,581629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-174759,-231465,-223821,-216540,-208429,-200338,-192470,-185989,-181950,-177748,-173875,-170257,-166550,-163110,-160667,-157367,-155104,-153254,-151068,-148968,-103500,-135006,-128544,-122430,-115991,-109711,-103708,-98598,-94924,-91291,-87988,-84987,-82022,-79265,-77061,-74510,-72514,-70762,-68907,-67141,209715,205700,204298,201851,193987,193987,188744,188744,187320,183501,183501,178258,180879,180879,181002,180879,182308,185707,182487,186122,262144,262144,270008,270008,269306,264765,265827,270008,264765,264765,264765,264765,264765,262144,262144,262116,259523,256901,261130,258749,27100,-42010
2,1779177349,767465168,1779177349767465168,0,0,0,0,0,-108,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442677,449490,456496,463704,471111,478746,486567,494551,502539,510468,518093,525225,532364,539501,546622,553723,560790,567816,574790,581706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-174778,-231490,-223844,-216560,-208448,-200355,-192486,-186005,-181965,-177764,-173889,-170270,-166565,-163123,-160679,-157381,-155114,-153266,-151081,-148982,-103500,-135005,-128543,-122427,-115988,-109707,-103704,-98595,-94920,-91288,-87984,-84983,-82019,-79261,-77057,-74508,-72509,-70758,-68904,-67138,209715,205699,204296,201851,193987,193987,188744,188744,187308,183501,183501,178258,180879,180879,180982,180879,182319,185682,182500,186122,262144,262144,270008,270008,269301,264765,265836,270008,264765,264765,264765,264765,264765,262144,262144,262105,259523,256901,261143,258722,27100,-42010
3,1779177349,772575825,1779177349772575825,0,0,0,0,0,-81,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442815,449632,456643,463855,471267,478907,486733,494722,502715,510650,518277,525413,532556,539698,546823,553928,560999,568030,575008,581927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-174832,-231560,-223909,-216620,-208502,-200403,-192531,-186053,-182011,-177811,-173929,-170310,-166606,-163160,-160714,-157424,-155142,-153301,-151120,-149022,-103500,-135004,-128539,-122421,-115980,-109697,-103693,-98586,-94911,-91280,-87973,-84973,-82010,-79250,-77045,-74500,-72495,-70748,-68895,-67131,209715,205697,204292,201851,193987,193987,188744,188744,187275,183501,183501,178258,180879,180879,180924,180879,182353,185612,182537,186122,262144,262144,270008,270008,269284,264765,265860,270008,264765,264765,264765,264765,264765,262144,262144,262074,259523,256901,261181,258643,27100,-42010
4,1779177349,777468204,1779177349777468204,0,0,0,0,0,-86,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442963,449785,456800,464017,471435,479079,486911,494906,502904,510844,518473,525614,532762,539909,547039,554149,561224,568259,575242,582165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-174890,-231635,-223980,-216683,-208561,-200454,-192580,-186104,-182059,-177861,-173972,-170353,-166651,-163199,-160751,-157469,-155172,-153338,-151160,-149065,-103500,-135002,-128535,-122414,-115971,-109685,-103682,-98576,-94900,-91271,-87962,-84962,-82000,-79239,-77033,-74492,-72480,-70737,-68885,-67123,209715,205695,204288,201851,193987,193987,188744,188744,187239,183501,183501,178258,180879,180879,180862,180879,182388,185536,182577,186122,262144,262144,270008,270008,269266,264765,265887,270008,264765,264765,264765,264765,264765,262144,262144,262041,259523,256901,261221,258559,27100,-42011
5,1779177349,782477130,1779177349782477130,0,0,0,0,0,-137,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443110,449937,456957,464179,471602,479252,487089,495089,503093,511037,518670,525815,532968,540120,547254,554368,561449,568488,575475,582402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-174949,-231710,-224050,-216746,-208619,-200506,-192629,-186155,-182108,-177912,-174015,-170396,-166695,-163239,-160789,-157514,-155202,-153376,-151201,-149108,-103500,-135000,-128532,-122407,-115963,-109674,-103670,-98567,-94890,-91262,-87950,-84950,-81990,-79227,-77021,-74484,-72465,-70725,-68876,-67115,209715,205693,204284,201851,193987,193987,188744,188744,187204,183501,183501,178258,180879,180879,180800,180879,182423,185461,182617,186122,262144,262144,270008,270008,269249,264765,265914,270008,264765,264765,264765,264765,264765,262144,262144,262007,259523,256901,261260,258475,27100,-42012
6,1779177349,787472295,1779177349787472295,0,0,0,0,0,-151,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443258,450089,457114,464341,471769,479424,487267,495273,503282,511232,518867,526017,533175,540331,547470,554589,561674,568717,575709,582640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175007,-231785,-224120,-216810,-208678,-200557,-192678,-186206,-182156,-177962,-174058,-170439,-166740,-163278,-160826,-157560,-155233,-153414,-151242,-149150,-103500,-134998,-128528,-122400,-115954,-109663,-103659,-98557,-94880,-91254,-87938,-84939,-81980,-79215,-77008,-74476,-72450,-70714,-68867,-67106,209715,205691,204279,201851,193987,193987,188744,188744,187169,183501,183501,178258,180879,180879,180738,180879,182459,185386,182657,186122,262144,262144,270008,270008,269231,264765,265940,270008,264765,264765,264765,264765,264765,262144,262144,261974,259523,256901,261300,258391,27100,-42012
7,1779177349,792466373,1779177349792466373,0,0,0,0,0,-66,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443405,450241,457270,464502,471936,479596,487445,495456,503470,511425,519062,526217,533380,540541,547685,554808,561897,568946,575941,582877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175065,-231859,-224190,-216873,-208736,-200609,-192727,-186257,-182205,-178012,-174101,-170481,-166784,-163318,-160864,-157605,-155263,-153451,-151283,-149193,-103500,-134996,-128524,-122393,-115946,-109651,-103647,-98548,-94869,-91245,-87927,-84928,-81970,-79204,-76996,-74467,-72435,-70703,-68857,-67098,209715,205688,204275,201851,193987,193987,188744,188744,187133,183501,183501,178258,180879,180881,180677,180879,182494,185311,182697,186122,262144,262144,270008,270008,269213,264765,265967,270008,264765,264765,264765,264765,264765,262144,262144,261941,259523,256901,261340,258307,27100,-42013
8,1779177349,797458146,1779177349797458146,0,0,0,0,0,79,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443552,450392,457427,464663,472102,479768,487622,495639,503658,511618,519258,526418,533585,540751,547900,555028,562121,569174,576174,583114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175123,-231934,-224260,-216936,-208794,-200660,-192776,-186308,-182253,-178062,-174144,-170524,-166828,-163361,-160901,-157650,-155292,-153488,-151323,-149236,-103500,-134994,-128520,-122386,-115937,-109640,-103635,-98538,-94859,-91236,-87915,-84917,-81961,-79194,-76983,-74459,-72420,-70692,-68848,-67090,209715,205686,204270,201851,193987,193987,188744,188744,187098,183501,183501,178258,180879,180909,180615,180879,182530,185236,182737,186122,262144,262144,270008,270008,269195,264765,265993,270008,264765,264765,264765,264765,264765,262144,262144,261908,259523,256901,261380,258223,27100,-42012
9,1779177349,802547554,1779177349802547554,0,0,0,0,0,199,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443700,450545,457584,464826,472270,479942,487802,495824,503848,511813,519456,526621,533793,540963,548117,555249,562347,569404,576409,583353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175182,-232009,-224331,-217000,-208853,-200712,-192825,-186359,-182302,-178113,-174187,-170567,-166873,-163404,-160939,-157695,-155323,-153526,-151364,-149279,-103500,-134992,-128516,-122379,-115928,-109629,-103624,-98529,-94849,-91227,-87903,-84906,-81951,-79184,-76971,-74451,-72405,-70681,-68839,-67082,209715,205684,204266,201851,193987,193987,188744,188744,187062,183501,183501,178258,180879,180938,180552,180879,182565,185160,182777,186122,262144,262144,270008,270008,269178,264765,266020,270008,264765,264765,264765,264765,264765,262144,262144,261874,259523,256901,261420,258138,27100,-42011
10,1779177349,807466654,1779177349807466654,0,0,0,0,0,260,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443848,450697,457741,464988,472437,480114,487979,496007,504037,512007,519652,526822,533998,541173,548332,555469,562571,569633,576642,583590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175240,-232084,-224401,-217063,-208911,-200763,-192874,-186410,-182350,-178163,-174229,-170609,-166917,-163447,-160976,-157741,-155353,-153563,-151405,-149321,-103500,-134990,-128512,-122372,-115920,-109617,-103612,-98519,-94839,-91218,-87892,-84894,-81941,-79174,-76959,-74443,-72390,-70670,-68829,-67074,209715,205682,204261,201851,193987,193987,188744,188744,187027,183501,183501,178258,180879,180967,180490,180879,182601,185085,182816,186122,262144,262144,270008,270008,269160,264765,266047,270008,264765,264765,264765,264765,264765,262144,262144,261841,259523,256901,261460,258054,27100,-42010
