idx,stamp_sec,stamp_nsec,stamp_ns,x_fp,y_fp,theta_fp,velocity_fp,vy_fp,omega_fp,steering_angle_fp,horizon_length_msg,ref_ey_fp_0,ref_ey_fp_1,ref_ey_fp_2,ref_ey_fp_3,ref_ey_fp_4,ref_ey_fp_5,ref_ey_fp_6,ref_ey_fp_7,ref_ey_fp_8,ref_ey_fp_9,ref_ey_fp_10,ref_ey_fp_11,ref_ey_fp_12,ref_ey_fp_13,ref_ey_fp_14,ref_ey_fp_15,ref_ey_fp_16,ref_ey_fp_17,ref_ey_fp_18,ref_ey_fp_19,ref_epsi_fp_0,ref_epsi_fp_1,ref_epsi_fp_2,ref_epsi_fp_3,ref_epsi_fp_4,ref_epsi_fp_5,ref_epsi_fp_6,ref_epsi_fp_7,ref_epsi_fp_8,ref_epsi_fp_9,ref_epsi_fp_10,ref_epsi_fp_11,ref_epsi_fp_12,ref_epsi_fp_13,ref_epsi_fp_14,ref_epsi_fp_15,ref_epsi_fp_16,ref_epsi_fp_17,ref_epsi_fp_18,ref_epsi_fp_19,ref_x_fp_0,ref_x_fp_1,ref_x_fp_2,ref_x_fp_3,ref_x_fp_4,ref_x_fp_5,ref_x_fp_6,ref_x_fp_7,ref_x_fp_8,ref_x_fp_9,ref_x_fp_10,ref_x_fp_11,ref_x_fp_12,ref_x_fp_13,ref_x_fp_14,ref_x_fp_15,ref_x_fp_16,ref_x_fp_17,ref_x_fp_18,ref_x_fp_19,ref_y_fp_0,ref_y_fp_1,ref_y_fp_2,ref_y_fp_3,ref_y_fp_4,ref_y_fp_5,ref_y_fp_6,ref_y_fp_7,ref_y_fp_8,ref_y_fp_9,ref_y_fp_10,ref_y_fp_11,ref_y_fp_12,ref_y_fp_13,ref_y_fp_14,ref_y_fp_15,ref_y_fp_16,ref_y_fp_17,ref_y_fp_18,ref_y_fp_19,ref_psi_fp_0,ref_psi_fp_1,ref_psi_fp_2,ref_psi_fp_3,ref_psi_fp_4,ref_psi_fp_5,ref_psi_fp_6,ref_psi_fp_7,ref_psi_fp_8,ref_psi_fp_9,ref_psi_fp_10,ref_psi_fp_11,ref_psi_fp_12,ref_psi_fp_13,ref_psi_fp_14,ref_psi_fp_15,ref_psi_fp_16,ref_psi_fp_17,ref_psi_fp_18,ref_psi_fp_19,ref_vx_fp_0,ref_vx_fp_1,ref_vx_fp_2,ref_vx_fp_3,ref_vx_fp_4,ref_vx_fp_5,ref_vx_fp_6,ref_vx_fp_7,ref_vx_fp_8,ref_vx_fp_9,ref_vx_fp_10,ref_vx_fp_11,ref_vx_fp_12,ref_vx_fp_13,ref_vx_fp_14,ref_vx_fp_15,ref_vx_fp_16,ref_vx_fp_17,ref_vx_fp_18,ref_vx_fp_19,ref_vy_fp_0,ref_vy_fp_1,ref_vy_fp_2,ref_vy_fp_3,ref_vy_fp_4,ref_vy_fp_5,ref_vy_fp_6,ref_vy_fp_7,ref_vy_fp_8,ref_vy_fp_9,ref_vy_fp_10,ref_vy_fp_11,ref_vy_fp_12,ref_vy_fp_13,ref_vy_fp_14,ref_vy_fp_15,ref_vy_fp_16,ref_vy_fp_17,ref_vy_fp_18,ref_vy_fp_19,ref_omega_ref_fp_0,ref_omega_ref_fp_1,ref_omega_ref_fp_2,ref_omega_ref_fp_3,ref_omega_ref_fp_4,ref_omega_ref_fp_5,ref_omega_ref_fp_6,ref_omega_ref_fp_7,ref_omega_ref_fp_8,ref_omega_ref_fp_9,ref_omega_ref_fp_10,ref_omega_ref_fp_11,ref_omega_ref_fp_12,ref_omega_ref_fp_13,ref_omega_ref_fp_14,ref_omega_ref_fp_15,ref_omega_ref_fp_16,ref_omega_ref_fp_17,ref_omega_ref_fp_18,ref_omega_ref_fp_19,ref_kappa_fp_0,ref_kappa_fp_1,ref_kappa_fp_2,ref_kappa_fp_3,ref_kappa_fp_4,ref_kappa_fp_5,ref_kappa_fp_6,ref_kappa_fp_7,ref_kappa_fp_8,ref_kappa_fp_9,ref_kappa_fp_10,ref_kappa_fp_11,ref_kappa_fp_12,ref_kappa_fp_13,ref_kappa_fp_14,ref_kappa_fp_15,ref_kappa_fp_16,ref_kappa_fp_17,ref_kappa_fp_18,ref_kappa_fp_19,ref_left_bound_fp_0,ref_left_bound_fp_1,ref_left_bound_fp_2,ref_left_bound_fp_3,ref_left_bound_fp_4,ref_left_bound_fp_5,ref_left_bound_fp_6,ref_left_bound_fp_7,ref_left_bound_fp_8,ref_left_bound_fp_9,ref_left_bound_fp_10,ref_left_bound_fp_11,ref_left_bound_fp_12,ref_left_bound_fp_13,ref_left_bound_fp_14,ref_left_bound_fp_15,ref_left_bound_fp_16,ref_left_bound_fp_17,ref_left_bound_fp_18,ref_left_bound_fp_19,ref_right_bound_fp_0,ref_right_bound_fp_1,ref_right_bound_fp_2,ref_right_bound_fp_3,ref_right_bound_fp_4,ref_right_bound_fp_5,ref_right_bound_fp_6,ref_right_bound_fp_7,ref_right_bound_fp_8,ref_right_bound_fp_9,ref_right_bound_fp_10,ref_right_bound_fp_11,ref_right_bound_fp_12,ref_right_bound_fp_13,ref_right_bound_fp_14,ref_right_bound_fp_15,ref_right_bound_fp_16,ref_right_bound_fp_17,ref_right_bound_fp_18,ref_right_bound_fp_19,e_y_fp,e_psi_fp
1,1778515493,824155281,1778515493824155281,16479,-14673,8044,0,0,-434,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107851,129045,150249,171458,192667,213872,235070,256257,277429,298584,319717,340826,361907,382960,403983,424975,445936,466862,487750,12665,13868,14688,15160,15313,15169,14741,14036,13058,11806,10282,8485,6421,4095,1520,-1289,-4316,-7555,-11012,-14691,16762,12436,7931,3817,22,-3555,-7012,-10402,-13779,-17164,-20544,-23906,-27197,-30383,-33395,-36207,-38869,-41541,-44299,-47138,706988,724116,741234,758291,775219,791933,808361,824478,840294,855798,870803,885321,899469,913403,927290,941258,955077,967822,980209,992253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126357,-161697,-150015,-140885,-133936,-131396,-130675,-131703,-134558,-136546,-138296,-138915,-137189,-133921,-127331,-120543,-119801,-124776,-129376,-133200,-46852,-58538,-53054,-48704,-45291,-43494,-42377,-41875,-41978,-41826,-41632,-41133,-39983,-38435,-35996,-33572,-32882,-33797,-34600,-35190,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,242648,245393,242895,246415,249037,253751,256901,261861,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281640,280494,283116,280494,277873,280494,277873,280494,-22797,-8718
2,1778515493,827411165,1778515493827411165,16479,-14673,8043,0,0,-253,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107862,129066,150281,171501,192720,213936,235145,256342,277525,298690,319834,340954,362046,383109,404142,425145,446116,467052,487950,12665,13868,14688,15160,15313,15168,14739,14033,13053,11800,10273,8475,6407,4079,1501,-1311,-4341,-7584,-11044,-14728,16762,12434,7927,3811,14,-3564,-7022,-10414,-13793,-17180,-20561,-23925,-27216,-30403,-33415,-36227,-38890,-41565,-44325,-47165,707345,724490,741625,758699,775644,792375,808818,824950,840781,856300,871317,885847,900008,913955,927856,941839,955664,968419,980815,992867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126421,-161773,-150082,-140940,-133994,-131453,-130733,-131777,-134637,-136640,-138401,-138987,-137253,-133953,-127345,-120541,-119884,-124911,-129522,-133282,-46852,-58535,-53050,-48697,-45286,-43489,-42372,-41875,-41978,-41830,-41639,-41130,-39978,-38421,-35978,-33550,-32885,-33812,-34618,-35190,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,242712,245462,242970,246415,249037,253842,256901,261963,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281576,280494,283116,280494,277873,280494,277873,280494,-22797,-8718
3,1778515493,836130100,1778515493836130100,16479,-14673,8047,0,0,-131,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107884,129110,150347,171588,192830,214068,235298,256517,277722,298909,320074,341215,362329,383413,404467,425491,446484,467441,488360,12665,13869,14689,15161,15313,15166,14735,14027,13044,11787,10256,8453,6380,4046,1462,-1356,-4392,-7642,-11110,-14802,16762,12429,7918,3799,-1,-3582,-7043,-10439,-13821,-17211,-20596,-23962,-27256,-30445,-33458,-36269,-38935,-41613,-44376,-47221,708075,725256,742426,759536,776514,793279,809755,825918,841779,857326,872370,886925,901112,915086,929016,943029,956868,969640,982056,994127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126552,-161929,-150218,-141053,-134111,-131570,-130852,-131929,-134799,-136833,-138615,-139134,-137386,-134018,-127374,-120535,-120053,-125188,-129821,-133460,-46852,-58529,-53041,-48683,-45275,-43478,-42361,-41874,-41979,-41839,-41653,-41123,-39967,-38392,-35942,-33507,-32890,-33845,-34654,-35192,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,242843,245605,243123,246415,249037,254028,256901,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281445,280494,283116,280494,277873,280494,277873,280467,-22797,-8714
4,1778515493,851519493,1778515493851519493,16479,-14673,8047,0,0,-22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107895,129132,150380,171632,192885,214134,235375,256605,277821,299019,320195,341346,362471,383566,404631,425665,446668,467636,488565,12665,13870,14690,15162,15313,15166,14733,14024,13039,11781,10248,8442,6366,4030,1443,-1379,-4418,-7671,-11143,-14839,16762,12426,7914,3793,-8,-3591,-7054,-10451,-13836,-17227,-20613,-23981,-27276,-30467,-33479,-36291,-38957,-41637,-44402,-47249,708442,725640,742828,759955,776951,793732,810224,826403,842280,857841,872898,887465,901666,915653,929598,943626,957472,970253,982679,994758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126617,-162007,-150287,-141109,-134170,-131629,-130911,-132006,-134881,-136930,-138722,-139208,-137452,-134050,-127389,-120533,-120138,-125327,-129971,-133583,-46852,-58527,-53036,-48675,-45269,-43473,-42356,-41874,-41979,-41844,-41660,-41120,-39962,-38377,-35923,-33485,-32892,-33861,-34672,-35202,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,242909,245676,243200,246415,249037,254121,256901,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281379,280494,283116,280494,277873,280494,277873,280362,-22797,-8715
5,1778515493,872547810,1778515493872547810,16479,-14673,8049,0,0,117,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107906,129154,150413,171676,192940,214200,235452,256693,277920,299129,320316,341478,362613,383719,404795,425840,446853,467832,488771,12665,13870,14691,15162,15313,15165,14732,14020,13035,11774,10239,8431,6353,4013,1423,-1401,-4444,-7701,-11177,-14877,16762,12424,7909,3787,-16,-3600,-7065,-10463,-13850,-17243,-20631,-24000,-27297,-30488,-33500,-36312,-38979,-41661,-44429,-47277,708809,726026,743232,760376,777390,794188,810696,826890,842783,858359,873428,888009,902222,916223,930183,944226,958078,970868,983303,995392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126683,-162086,-150356,-141166,-134230,-131688,-130971,-132082,-134962,-137027,-138830,-139282,-137519,-134083,-127403,-120530,-120223,-125467,-130105,-133707,-46852,-58524,-53032,-48668,-45264,-43467,-42350,-41873,-41979,-41848,-41667,-41117,-39957,-38363,-35905,-33463,-32895,-33877,-34685,-35213,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,242976,245748,243277,246415,249037,254215,256987,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281312,280494,283116,280494,277873,280494,277959,280258,-22797,-8713
6,1778515493,882317671,1778515493882317671,16479,-14673,8050,0,0,53,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107911,129165,150429,171698,192967,214232,235490,256737,277969,299183,320375,341543,362683,383794,404875,425926,446945,467928,488873,12665,13871,14691,15162,15313,15164,14731,14019,13032,11771,10235,8425,6346,4005,1413,-1412,-4457,-7715,-11193,-14896,16762,12423,7907,3784,-19,-3605,-7070,-10470,-13857,-17250,-20639,-24010,-27306,-30498,-33511,-36322,-38990,-41673,-44442,-47291,708991,726216,743431,760584,777606,794412,810928,827130,843030,858613,873689,888276,902495,916504,930470,944521,958377,971171,983611,995704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126715,-162124,-150390,-141194,-134259,-131717,-131000,-132120,-135003,-137075,-138883,-139319,-137552,-134099,-127411,-120528,-120265,-125536,-130169,-133768,-46852,-58522,-53029,-48664,-45261,-43464,-42348,-41873,-41980,-41851,-41671,-41115,-39954,-38356,-35896,-33452,-32896,-33885,-34692,-35218,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,243008,245783,243315,246415,249037,254261,257036,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281280,280494,283116,280494,277873,280494,278008,280206,-22797,-8712
7,1778515493,888812671,1778515493888812671,16479,-14673,8050,0,0,-10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107917,129177,150447,171722,192996,214267,235531,256783,278021,299241,320439,341612,362758,383875,404962,426018,447042,468031,488982,12665,13871,14691,15162,15313,15164,14730,14017,13030,11767,10230,8419,6339,3996,1403,-1424,-4471,-7731,-11211,-14916,16762,12421,7905,3781,-23,-3609,-7075,-10476,-13864,-17259,-20648,-24020,-27317,-30509,-33522,-36334,-39002,-41685,-44456,-47306,709185,726419,743644,760806,777837,794652,811177,827388,843296,858886,873969,888563,902789,916804,930779,944838,958697,971496,983941,996038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126750,-162166,-150426,-141224,-134290,-131748,-131031,-132160,-135046,-137126,-138940,-139358,-137587,-134116,-127418,-120527,-120310,-125596,-130238,-133833,-46852,-58521,-53027,-48660,-45258,-43462,-42345,-41873,-41980,-41853,-41674,-41113,-39951,-38348,-35886,-33440,-32897,-33890,-34698,-35223,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,243043,245821,243356,246415,249037,254280,257089,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281245,280494,283116,280494,277873,280494,278060,280151,-22797,-8712
8,1778515493,894034406,1778515493894034406,16479,-14673,8049,0,0,-37,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107917,129177,150447,171722,192996,214267,235531,256783,278021,299241,320439,341612,362758,383875,404962,426018,447042,468031,488982,12665,13871,14691,15162,15313,15164,14730,14017,13030,11767,10230,8419,6339,3996,1403,-1424,-4471,-7731,-11211,-14916,16762,12421,7905,3781,-23,-3609,-7075,-10476,-13864,-17259,-20648,-24020,-27317,-30509,-33522,-36334,-39002,-41685,-44456,-47306,709185,726419,743644,760806,777837,794652,811177,827388,843296,858886,873969,888563,902789,916804,930779,944838,958697,971496,983941,996038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126750,-162166,-150426,-141224,-134290,-131748,-131031,-132160,-135046,-137126,-138940,-139358,-137587,-134116,-127418,-120527,-120310,-125596,-130238,-133833,-46852,-58521,-53027,-48660,-45258,-43462,-42345,-41873,-41980,-41853,-41674,-41113,-39951,-38348,-35886,-33440,-32897,-33890,-34698,-35223,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,243043,245821,243356,246415,249037,254280,257089,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281245,280494,283116,280494,277873,280494,278060,280151,-22797,-8712
9,1778515493,897432372,1778515493897432372,16479,-14673,8049,0,0,-25,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107922,129187,150462,171742,193022,214298,235567,256824,278067,299292,320496,341674,362825,383947,405039,426100,447129,468123,489078,12665,13871,14692,15163,15313,15164,14729,14016,13028,11764,10226,8414,6332,3988,1394,-1435,-4483,-7745,-11227,-14934,16762,12420,7903,3778,-27,-3614,-7080,-10482,-13871,-17266,-20657,-24029,-27326,-30519,-33532,-36343,-39012,-41697,-44468,-47319,709357,726600,743832,761003,778042,794865,811398,827616,843531,859128,874217,888817,903049,917071,931052,945118,958980,971784,984233,996335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126781,-162202,-150458,-141250,-134318,-131775,-131059,-132196,-135084,-137172,-138990,-139393,-137618,-134131,-127425,-120525,-120350,-125643,-130300,-133891,-46852,-58520,-53025,-48657,-45255,-43459,-42342,-41873,-41980,-41855,-41678,-41112,-39949,-38341,-35877,-33430,-32899,-33893,-34704,-35228,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,243074,245855,243392,246415,249037,254280,257135,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281214,280494,283116,280494,277873,280494,278107,280101,-22797,-8712
10,1778515493,901741038,1778515493901741038,16479,-14673,8049,0,0,-22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86676,107922,129187,150462,171742,193022,214298,235567,256824,278067,299292,320496,341674,362825,383947,405039,426100,447129,468123,489078,12665,13871,14692,15163,15313,15164,14729,14016,13028,11764,10226,8414,6332,3988,1394,-1435,-4483,-7745,-11227,-14934,16762,12420,7903,3778,-27,-3614,-7080,-10482,-13871,-17266,-20657,-24029,-27326,-30519,-33532,-36343,-39012,-41697,-44468,-47319,709357,726600,743832,761003,778042,794865,811398,827616,843531,859128,874217,888817,903049,917071,931052,945118,958980,971784,984233,996335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126781,-162202,-150458,-141250,-134318,-131775,-131059,-132196,-135084,-137172,-138990,-139393,-137618,-134131,-127425,-120525,-120350,-125643,-130300,-133891,-46852,-58520,-53025,-48657,-45255,-43459,-42342,-41873,-41980,-41855,-41678,-41112,-39949,-38341,-35877,-33430,-32899,-33893,-34704,-35228,241172,243794,249037,243794,243794,243794,243794,238551,241172,241172,238551,241172,243074,245855,243392,246415,249037,254280,257135,262144,272630,272630,272630,272630,277873,277873,277873,283116,283116,280494,280494,277873,281214,280494,283116,280494,277873,280494,278107,280101,-22797,-8712
