idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
1,1779177349762468915,0,0,9,-5559,1851568,27100,-42010,0,0,-77,0,0
2,1779177349767465168,0,0,6,-9312,1851568,27100,-42010,0,0,-108,0,1851568
3,1779177349772575825,0,0,1,-9317,1851568,27100,-42010,0,0,-81,0,1851568
4,1779177349777468204,0,0,1,-9318,1851568,27100,-42011,0,0,-86,0,1851568
5,1779177349782477130,0,0,1,-9316,1851568,27100,-42012,0,0,-137,0,1851568
6,1779177349787472295,0,0,1,-9316,1851568,27100,-42012,0,0,-151,0,1851568
7,1779177349792466373,0,0,1,-9312,1851568,27100,-42013,0,0,-66,0,1851568
8,1779177349797458146,0,0,1,-9310,1851568,27100,-42012,0,0,79,0,1851568
9,1779177349802547554,0,0,1,-9303,1851568,27100,-42011,0,0,199,0,1851568
10,1779177349807466654,0,0,1,-9303,1851568,27100,-42010,0,0,260,0,1851568
11,1779177349812438011,0,0,1,-9302,1851568,27100,-42009,0,0,284,0,1851568
12,1779177349817449753,0,0,1,-9300,1851568,27100,-42007,0,0,304,0,1851568
13,1779177349822452119,0,0,1,-9301,1851568,27100,-42005,0,0,348,0,1851568
14,1779177349827453172,0,0,1,-9299,1851568,27100,-42003,0,0,359,0,1851568
15,1779177349832447186,0,0,1,-9299,1851568,27100,-42002,0,0,286,0,1851568
16,1779177349837445295,0,0,1,-9298,1851568,27100,-42001,0,0,178,0,1851568
17,1779177349842441709,0,0,1,-9297,1851568,27100,-42001,0,0,82,0,1851568
18,1779177349847448843,0,0,1,-9294,1851568,27100,-42001,0,0,32,0,1851568
19,1779177349852442376,0,0,1,-9295,1851568,27100,-42001,0,0,11,0,1851568
20,1779177349857436646,0,0,1,-9294,1851568,27100,-42001,0,0,-28,0,1851568
21,1779177349862446276,0,0,1,-9293,1851568,27100,-42001,0,0,-82,0,1851568
22,1779177349867444514,0,0,1,-9291,1851568,27100,-42002,0,0,-124,0,1851568
23,1779177349872450815,0,0,1,-9288,1851568,27100,-42002,0,0,-134,0,1851568
24,1779177349877443997,0,0,1,-9288,1851568,27100,-42003,0,0,-83,0,1851568
25,1779177349882448443,0,0,1,-9286,1851568,27100,-42003,0,0,11,0,1851568
26,1779177349887457849,0,0,1,-9282,1851568,27100,-42002,0,0,55,0,1851568
27,1779177349892429142,0,0,1,-9281,1851568,27100,-42002,0,0,11,0,1851568
28,1779177349897433267,0,0,1,-9280,1851568,27100,-42003,0,0,-46,0,1851568
29,1779177349902435153,0,0,1,-9278,1851568,27100,-42003,0,0,-100,0,1851568
30,1779177349907431727,0,0,1,-9276,1851568,27100,-42004,0,0,-222,0,1851568
31,1779177349912437037,0,0,1,-9266,1851568,27100,-42006,0,0,-345,0,1851568
32,1779177349917431562,0,0,1,-9263,1851568,27100,-42008,0,0,-343,0,1851568
33,1779177349922427080,0,0,1,-9269,1851568,27100,-42009,0,0,-238,0,1851568
34,1779177349927427717,0,0,1,-9269,1851568,27100,-42009,0,0,-83,0,1851568
35,1779177349932436419,0,0,1,-9268,1851568,27100,-42009,0,0,89,0,1851568
36,1779177349937436225,0,0,1,-9270,1851568,27100,-42008,0,0,218,0,1851568
37,1779177349942430846,0,0,1,-9265,1851568,27100,-42006,0,0,285,0,1851568
38,1779177349947451485,0,0,1,-9262,1851568,27100,-42005,0,0,278,0,1851568
39,1779177349952451642,0,0,1,-9262,1851568,27100,-42004,0,0,171,0,1851568
