idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
1,1779177893990638379,0,0,9,-13718,1851568,27100,-42073,0,0,-76,-9297,0
2,1779177893995273728,0,0,6,-16237,1851568,27100,-42073,0,0,-76,-9297,1851568
3,1779177894000185017,0,0,2,-23699,1851568,27100,-42074,0,0,-87,-16865,1851568
4,1779177894005194291,0,0,1,-29000,1851568,27100,-42075,0,0,-200,-23603,1851568
5,1779177894010266317,0,0,1,-33052,1851568,27100,-42076,0,0,-208,-28952,1851568
6,1779177894015381576,0,0,1,-36104,1851568,27100,-42077,0,0,-161,-33034,1851568
7,1779177894020128830,0,0,1,-38139,1851568,27100,-42077,0,0,-128,-36097,1851568
8,1779177894025713470,0,0,1,-39194,1851568,27100,-42078,0,0,-94,-38136,1851568
9,1779177894030318739,0,0,1,-39457,1851568,27100,-42078,0,0,-94,-39193,1851568
10,1779177894035283053,0,0,1,-39179,1851568,27100,-42078,0,0,11,-39458,1851568
11,1779177894040339111,0,0,1,-38598,1851568,27100,-42078,0,0,24,-39178,1851568
12,1779177894045239295,0,0,1,-37916,1851568,27100,-42078,0,0,7,-38596,1851568
13,1779177894050340602,0,0,1,-37281,1851568,27100,-42078,0,0,13,-37915,1851568
14,1779177894055186129,0,0,1,-36775,1851568,27100,-42077,0,0,34,-37280,1851568
15,1779177894060191403,0,0,1,-36429,1851568,27100,-42078,0,0,-31,-36774,1851568
16,1779177894065208709,0,0,1,-36236,1851568,27100,-42079,0,0,-201,-36428,1851568
17,1779177894070254879,0,0,1,-36167,1851568,27100,-42081,0,0,-409,-36236,1851568
18,1779177894075217208,0,0,1,-36183,1851568,27100,-42085,0,0,-905,-36167,1851568
19,1779177894080225489,0,0,1,-36239,1851568,27100,-42095,0,0,-1946,-36183,1851568
20,1779177894085212395,0,0,1,-36295,1851568,27100,-42113,0,0,-3653,-36239,1851568
21,1779177894090215236,0,0,1,-36306,1851568,27100,-42144,0,0,-6164,-36295,1851568
22,1779177894095638146,0,0,1,-36221,1851568,27100,-42196,0,0,-9508,-36305,1851568
23,1779177894100100758,0,0,1,-36003,1851568,27100,-42256,0,0,-13665,-36220,1851568
24,1779177894105234193,0,0,1,-35641,1851568,27100,-42348,0,0,-17769,-36002,1851568
25,1779177894110251466,0,0,1,-35165,1851568,27100,-42453,0,0,-20893,-35641,1851568
26,1779177894115239940,0,0,1,-34651,1851568,27100,-42564,0,0,-22310,-35164,1851568
27,1779177894120274430,0,0,1,-34226,1851568,27100,-42672,0,0,-21392,-34651,1851568
28,1779177894124948915,0,0,1,-34006,1851568,27100,-42755,0,0,-17927,-34224,1851568
29,1779177894130660021,0,0,1,-34070,1851568,27100,-42825,0,0,-12134,-34005,1851568
30,1779177894135506893,0,0,1,-34391,1851568,27100,-42852,0,0,-5726,-34070,1851568
31,1779177894140794442,0,0,1,-34867,1851568,27100,-42851,0,0,203,-34391,1851568
32,1779177894145659106,0,0,1,-35456,1851568,27100,-42828,0,0,4753,-34867,1851568
33,1779177894150527642,0,0,9,-35724,1851568,27067,-42812,39403,-350,3373,-35456,1851568
34,1779177894155194351,0,0,1,-35762,1851568,27033,-42797,41718,-405,3216,-35723,1851568
35,1779177894160187337,0,0,1,-35595,1851568,26995,-42789,43973,-460,1466,-35760,1851568
36,1779177894165182914,0,0,2,-35233,1851568,26956,-42797,46168,-488,-1496,-35594,1851568
37,1779177894170180252,0,0,2,-34758,1851568,26914,-42828,48245,-506,-6286,-35231,1851568
