idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
1,1779174335083243993,0,0,15,-3841,1851568,27100,-42055,0,0,-118,0,0
2,1779174335088299496,0,0,6,-8619,1851568,27100,-42056,0,0,-175,0,1851568
3,1779174335093234329,0,0,1,-8621,1851568,27100,-42056,0,0,-154,0,1851568
4,1779174335098220426,0,0,1,-8618,1851568,27100,-42057,0,0,-155,0,1851568
5,1779174335103256250,0,0,1,-8617,1851568,27100,-42058,0,0,-236,0,1851568
6,1779174335108201803,0,0,1,-8614,1851568,27100,-42060,0,0,-302,0,1851568
7,1779174335113175707,0,0,1,-8612,1851568,27100,-42061,0,0,-228,0,1851568
8,1779174335118178444,0,0,1,-8611,1851568,27100,-42062,0,0,-119,0,1851568
9,1779174335123242907,0,0,1,-8610,1851568,27100,-42062,0,0,-102,0,1851568
10,1779174335128186956,0,0,1,-8608,1851568,27100,-42063,0,0,-140,0,1851568
11,1779174335133597177,0,0,1,-8605,1851568,27100,-42064,0,0,-177,0,1851568
12,1779174335138157421,0,0,1,-8603,1851568,27100,-42065,0,0,-179,0,1851568
13,1779174335143186173,0,0,1,-8601,1851568,27100,-42065,0,0,-139,0,1851568
14,1779174335148185710,0,0,1,-8599,1851568,27100,-42066,0,0,-88,0,1851568
15,1779174335153219358,0,0,1,-8599,1851568,27100,-42066,0,0,-81,0,1851568
16,1779174335158180398,0,0,1,-8597,1851568,27100,-42067,0,0,-94,0,1851568
17,1779174335163181919,0,0,1,-8594,1851568,27100,-42067,0,0,-88,0,1851568
18,1779174335168178191,0,0,1,-8594,1851568,27100,-42067,0,0,-72,0,1851568
19,1779174335173220959,0,0,1,-8592,1851568,27100,-42068,0,0,-45,0,1851568
20,1779174335178188272,0,0,1,-8591,1851568,27100,-42068,0,0,-43,0,1851568
21,1779174335183162016,0,0,1,-8589,1851568,27100,-42068,0,0,-113,0,1851568
22,1779174335188176496,0,0,1,-8587,1851568,27100,-42069,0,0,-207,0,1851568
23,1779174335193180193,0,0,1,-8587,1851568,27100,-42071,0,0,-256,0,1851568
24,1779174335198211281,0,0,1,-8585,1851568,27100,-42072,0,0,-263,0,1851568
25,1779174335203233505,0,0,1,-8584,1851568,27100,-42073,0,0,-258,0,1851568
26,1779174335208179602,0,0,1,-8581,1851568,27100,-42075,0,0,-251,0,1851568
27,1779174335213231426,0,0,1,-8580,1851568,27100,-42076,0,0,-237,0,1851568
28,1779174335218815468,0,0,1,-8576,1851568,27100,-42077,0,0,-217,0,1851568
29,1779174335223253026,0,0,1,-8576,1851568,27100,-42078,0,0,-201,0,1851568
30,1779174335228188563,0,0,1,-8573,1851568,27100,-42079,0,0,-197,0,1851568
31,1779174335233864189,0,0,1,-8571,1851568,27100,-42080,0,0,-152,0,1851568
32,1779174335238161044,0,0,1,-8568,1851568,27100,-42080,0,0,35,0,1851568
33,1779174335243181444,0,0,1,-8563,1851568,27100,-42078,0,0,224,0,1851568
34,1779174335248184468,0,0,1,-8560,1851568,27100,-42077,0,0,339,0,1851568
35,1779174335253226596,0,0,1,-8557,1851568,27100,-42075,0,0,325,0,1851568
36,1779174335258191317,0,0,1,-8556,1851568,27100,-42074,0,0,194,0,1851568
37,1779174335263178246,0,0,1,-8556,1851568,27100,-42074,0,0,35,0,1851568
38,1779174335268185334,0,0,1,-8559,1851568,27100,-42074,0,0,-83,0,1851568
39,1779174335273216614,0,0,1,-8559,1851568,27100,-42075,0,0,-195,0,1851568
40,1779174335278177111,0,0,1,-8552,1851568,27100,-42077,0,0,-286,0,1851568
41,1779174335283176615,0,0,1,-8551,1851568,27100,-42078,0,0,-313,0,1851568
42,1779174335288179671,0,0,1,-8549,1851568,27100,-42080,0,0,-312,0,1851568
43,1779174335293213287,0,0,1,-8549,1851568,27100,-42081,0,0,-263,0,1851568
44,1779174335298202328,0,0,1,-8548,1851568,27100,-42082,0,0,-161,0,1851568
45,1779174335303251112,0,0,1,-8547,1851568,27100,-42083,0,0,-112,0,1851568
46,1779174335308182617,0,0,1,-8545,1851568,27100,-42083,0,0,-130,0,1851568
47,1779174335313175561,0,0,1,-8544,1851568,27100,-42084,0,0,-105,0,1851568
48,1779174335318170137,0,0,1,-8541,1851568,27100,-42084,0,0,-46,0,1851568
49,1779174335323227049,0,0,1,-8539,1851568,27100,-42084,0,0,-53,0,1851568
50,1779174335328176538,0,0,1,-8537,1851568,27100,-42085,0,0,-82,0,1851568
51,1779174335333181418,0,0,1,-8536,1851568,27100,-42085,0,0,-34,0,1851568
52,1779174335338174523,0,0,1,-8533,1851568,27100,-42085,0,0,32,0,1851568
53,1779174335343155083,0,0,1,-8531,1851568,27100,-42085,0,0,1,0,1851568
54,1779174335348221787,0,0,1,-8531,1851568,27100,-42085,0,0,-106,0,1851568
55,1779174335353248779,0,0,1,-8528,1851568,27100,-42086,0,0,-198,0,1851568
56,1779174335358170876,0,0,1,-8529,1851568,27100,-42087,0,0,-230,0,1851568
57,1779174335363175276,0,0,1,-8527,1851568,27100,-42088,0,0,-172,0,1851568
58,1779174335368176733,0,0,1,-8527,1851568,27100,-42088,0,0,-34,0,1851568
59,1779174335373226797,0,0,1,-8525,1851568,27100,-42088,0,0,87,0,1851568
60,1779174335378218877,0,0,1,-8524,1851568,27100,-42087,0,0,100,0,1851568
61,1779174335383177166,0,0,1,-8521,1851568,27100,-42087,0,0,63,0,1851568
62,1779174335388177118,0,0,1,-8519,1851568,27100,-42087,0,0,97,0,1851568
63,1779174335393175886,0,0,1,-8515,1851568,27100,-42086,0,0,191,0,1851568
64,1779174335398221918,0,0,1,-8513,1851568,27100,-42085,0,0,223,0,1851568
65,1779174335403239343,0,0,1,-8512,1851568,27100,-42084,0,0,118,0,1851568
66,1779174335408182015,0,0,1,-8513,1851568,27100,-42084,0,0,-53,0,1851568
67,1779174335413179248,0,0,1,-8513,1851568,27100,-42085,0,0,-128,0,1851568
68,1779174335418192928,0,0,1,-8509,1851568,27100,-42085,0,0,-92,0,1851568
69,1779174335423316335,0,0,1,-8508,1851568,27100,-42086,0,0,-85,0,1851568
70,1779174335428216640,0,0,1,-8507,1851568,27100,-42086,0,0,-149,0,1851568
71,1779174335433193457,0,0,1,-8504,1851568,27100,-42087,0,0,-164,0,1851568
72,1779174335438156930,0,0,1,-8504,1851568,27100,-42088,0,0,-54,0,1851568
73,1779174335443174354,0,0,1,-8499,1851568,27100,-42087,0,0,106,0,1851568
74,1779174335448180130,0,0,1,-8496,1851568,27100,-42086,0,0,233,0,1851568
75,1779174335453229330,0,0,1,-8492,1851568,27100,-42084,0,0,326,0,1851568
76,1779174335458191843,0,0,1,-8489,1851568,27100,-42082,0,0,402,0,1851568
77,1779174335463175219,0,0,1,-8487,1851568,27100,-42080,0,0,415,0,1851568
78,1779174335468189987,0,0,1,-8485,1851568,27100,-42078,0,0,338,0,1851568
79,1779174335473236563,0,0,1,-8485,1851568,27100,-42077,0,0,200,0,1851568
80,1779174335478175812,0,0,1,-8487,1851568,27100,-42077,0,0,26,0,1851568
81,1779174335483192564,0,0,1,-8488,1851568,27100,-42078,0,0,-76,0,1851568
82,1779174335488195461,0,0,1,-8485,1851568,27100,-42078,0,0,-53,0,1851568
83,1779174335493193077,0,0,1,-8483,1851568,27100,-42078,0,0,-37,0,1851568
