idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
1,1778515493824155281,0,0,34,22404,1851568,-22797,-8718,0,0,-434,0,0
2,1778515493827411165,0,0,7,6455,1851568,-22797,-8718,0,0,-253,0,1851568
3,1778515493836130100,0,0,1,6448,1851568,-22797,-8714,0,0,-131,0,1851568
4,1778515493851519493,0,0,1,6440,1851568,-22797,-8715,0,0,-22,0,1851568
5,1778515493872547810,0,0,1,6426,1851568,-22797,-8713,0,0,117,0,1851568
6,1778515493882317671,0,0,1,6423,1851568,-22797,-8712,0,0,53,0,1851568
7,1778515493888812671,0,0,1,6421,1851568,-22797,-8712,0,0,-10,0,1851568
8,1778515493894034406,0,0,1,6420,1851568,-22797,-8712,0,0,-37,0,1851568
9,1778515493897432372,0,0,1,6417,1851568,-22797,-8712,0,0,-25,0,1851568
10,1778515493901741038,0,0,1,6415,1851568,-22797,-8712,0,0,-22,0,1851568
11,1778515493906029128,0,0,1,6414,1851568,-22797,-8713,0,0,-52,0,1851568
12,1778515493911025100,0,0,1,6410,1851568,-22797,-8713,0,0,-94,0,1851568
13,1778515493919291005,0,0,1,6411,1851568,-22797,-8714,0,0,-107,0,1851568
14,1778515493924326529,0,0,1,6403,1851568,-22797,-8715,0,0,-21,0,1851568
15,1778515493934296296,0,0,1,6399,1851568,-22797,-8715,0,0,14,0,1851568
16,1778515493939105769,0,0,1,6400,1851568,-22797,-8715,0,0,9,0,1851568
17,1778515493942108402,0,0,1,6397,1851568,-22797,-8714,0,0,31,0,1851568
18,1778515493945897702,0,0,1,6395,1851568,-22797,-8714,0,0,47,0,1851568
19,1778515493950886889,0,0,1,6390,1851568,-22797,-8714,0,0,9,0,1851568
20,1778515493955954062,0,0,1,6395,1851568,-22797,-8715,0,0,-105,0,1851568
21,1778515493960900177,0,0,1,6398,1851568,-22797,-8716,0,0,-212,0,1851568
22,1778515493965909333,0,0,1,6397,1851568,-22797,-8717,0,0,-275,0,1851568
23,1778515493970943258,0,0,1,6395,1851568,-22797,-8718,0,0,-287,0,1851568
24,1778515493975877725,0,0,1,6395,1851568,-22797,-8720,0,0,-308,0,1851568
25,1778515493980910689,0,0,1,6392,1851568,-22797,-8722,0,0,-328,0,1851568
26,1778515493985895781,0,0,1,6390,1851568,-22797,-8722,0,0,-279,0,1851568
27,1778515493990884680,0,0,1,6384,1851568,-22797,-8723,0,0,-181,0,1851568
28,1778515493995900940,0,0,1,6382,1851568,-22797,-8723,0,0,-100,0,1851568
29,1778515494000912240,0,0,1,6379,1851568,-22797,-8724,0,0,-76,0,1851568
30,1778515494005900276,0,0,1,6378,1851568,-22797,-8724,0,0,-100,0,1851568
31,1778515494011027546,0,0,1,6377,1851568,-22797,-8725,0,0,-108,0,1851568
32,1778515494015947676,0,0,1,6376,1851568,-22797,-8726,0,0,-39,0,1851568
33,1778515494021010561,0,0,1,6369,1851568,-22797,-8726,0,0,92,0,1851568
34,1778515494025918787,0,0,1,6364,1851568,-22797,-8725,0,0,239,0,1851568
35,1778515494030925159,0,0,1,6361,1851568,-22797,-8723,0,0,298,0,1851568
36,1778515494035971468,0,0,1,6362,1851568,-22797,-8724,0,0,219,0,1851568
37,1778515494040966159,0,0,1,6361,1851568,-22797,-8724,0,0,84,0,1851568
38,1778515494045949843,0,0,1,6365,1851568,-22797,-8724,0,0,-59,0,1851568
39,1778515494050932694,0,0,1,6364,1851568,-22797,-8725,0,0,-157,0,1851568
40,1778515494055968603,0,0,1,6362,1851568,-22797,-8726,0,0,-150,0,1851568
41,1778515494060932190,0,0,1,6362,1851568,-22797,-8726,0,0,-82,0,1851568
42,1778515494065962338,0,0,1,6358,1851568,-22797,-8725,0,0,-20,0,1851568
43,1778515494071106568,0,0,1,6355,1851568,-22797,-8725,0,0,42,0,1851568
44,1778515494075962953,0,0,1,6351,1851568,-22797,-8724,0,0,71,0,1851568
45,1778515494080926157,0,0,1,6349,1851568,-22797,-8724,0,0,35,0,1851568
46,1778515494085960017,0,0,1,6352,1851568,-22797,-8725,0,0,-37,0,1851568
