site,kind,note,policy_width,policy_note,algebraic_worst,chosen_width,observed_max_bits,margin_bits,bits_saved_vs_worst,frac_bits,int_bits_needed,frac_bits_used,dead_low_bits,min_nonzero_raw,max_abs_raw,total_samples,obs_bits[input_root],obs_bits[FPGA_ROS2],obs_bits[FPGA_UDP],obs_bits[MPC_10Laps]
QP_MUL    fp_QP_mul_t,MUL,,52,,64,52,51,1,12,,,,,,1091304796434185,486312028,51,51,51,51
P_QP_MUL  fp_P_QP_mul_t,MUL,,60,,72,60,59,1,12,,,,,,170490881468025606,2818407480,59,58,58,59
MG_QP_MUL fp_MG_QP_mul_t,MUL,,53,,66,53,52,1,13,,,,,,1341971469417036,767453680,52,51,51,51
MG_K_MUL  fp_MG_K_mul_t,MUL,,59,,60,59,58,1,1,,,,,,128024865514363104,562358300,58,58,58,58
K_QP_MUL  fp_K_QP_mul_t,MUL,,46,,58,46,45,1,12,,,,,,9014473239750,105855680,45,44,44,44
FN_MUL    fp_fn_accum_t,MUL,,45,,52,45,44,1,7,,,,,,8794109638348,317747040,44,44,44,44
SUM2_QP_RAW,SUM,,32,,34,32,31,1,2,,,,,,939160068,222669690,31,31,30,30
SUM4_QP_RAW,SUM,,26,,35,26,25,1,9,,,,,,11929473,20368400,25,25,25,25
SUM8_QP_RAW,SUM,,25,,36,25,24,1,11,,,,,,4786983,12221040,24,23,23,24
SUM6_QP_tree,SUM,,45,QP shared with QP_ITEM,67,45,44,1,22,,,,,,4996393948902,39695880,44,43,43,44
SUM6_QP_ACC (true),SUM,,44,QP shared with QP_ITEM,67,45,43,2,22,,,,,,3837165482462,39695880,43,43,43,43
SUM2_P_RAW,SUM,,40,,41,40,39,1,1,,,,,,225311916549,186570636,39,39,39,39
SUM6_P_QP,SUM,,59,shared with P_QP_ITEM,75,59,58,1,16,,,,,,90692655083128266,251407240,58,57,57,58
SUM2_P_QP,SUM,,52,,73,52,51,1,21,,,,,,876174467757200,59543820,51,50,50,51
SUM4_P_QP,SUM,,51,,74,51,50,1,23,,,,,,363834146784366,59543820,50,50,50,50
SUM2_P_MIX,SUM,,60,,61,60,59,1,1,,,,,,170490881468025606,714525840,59,58,58,59
SUM4_P_MIX,SUM,,58,,62,58,57,1,4,,,,,,56870200148450280,357262920,57,56,57,57
SUM8_P_MIX,SUM,,57,,63,57,56,1,6,,,,,,33758925462320850,39695880,55,55,55,56
SUM8_P_MIX_pupdate,SUM,,58,,63,58,57,1,5,,,,,,59062792662357870,138935580,57,57,57,57
SUM2_MG_RAW,SUM,,34,,35,34,33,1,1,,,,,,3237032194,13231960,32,32,32,33
SUM6_MG_QP,SUM,,53,shared with MG_QP_ITEM,69,53,52,1,16,,,,,,1345073066007904,79391760,52,51,51,51
SUM2_MG_QP,SUM,,46,,67,46,45,1,21,,,,,,13511155682696,13231960,45,45,45,45
SUM4_MG_QP,SUM,,45,,68,45,44,1,23,,,,,,7960112032712,13231960,44,44,44,44
SUM2_QP_MG,SUM,,45,,67,45,44,1,22,,,,,,7950429782565,119087640,44,44,44,44
SUM2_MG_K,SUM,,49,,61,49,48,1,12,,,,,,79504297825650,112471660,48,48,47,48
SUM2_K_QP,SUM,,45,,59,45,44,1,14,,,,,,8644506532095,52927840,44,44,44,44
SUM4_K_QP,SUM,,45,,60,45,44,1,15,,,,,,8641323140201,26463920,44,44,44,44
SUM8_K_QP,SUM,,44,,61,44,43,1,17,,,,,,3611731525931,13231960,43,43,43,43
QP_ITEM   single product,ITEM,,45,shared with SUM6_QP_*,64,45,44,1,19,,,,,,6404640856980,238175280,44,44,44,44
P_QP_ITEM single product,ITEM,,59,shared with SUM6_P_QP,72,59,58,1,13,,,,,,90523563552963930,1508443440,58,57,57,58
P_MIX_ITEM single product,ITEM,,60,,60,60,59,1,0,,,,,,170490881468025606,1429051680,59,58,58,59
MG_QP_ITEM single product,ITEM,,53,shared with SUM6_MG_QP,66,53,52,1,13,,,,,,1341971469417036,476350560,52,51,51,51
K_QP_ITEM single product,ITEM,,46,,58,46,45,1,12,,,,,,9014473239750,105855680,45,44,44,44
QP_STORE  fp_QP_t,STORE,,32,,data,32,32,0,,18,13,18,0,1,1755126389,756212645,32,32,32,32
FN_STORE  fp_FN_t,STORE,,26,,data,26,26,0,,17,8,17,0,1,25172514,1248582920,26,26,26,26
P_STORE   fp_P_t,STORE,,40,,data,40,40,0,,18,21,18,0,1,345965023358,800533580,40,39,39,40
MG_STORE  fp_MG_t,STORE,,34,,data,34,34,0,,18,15,18,0,1,5131046546,224943320,34,33,33,33
K_STORE   fp_K_t,STORE,,26,,data,26,26,0,,18,7,18,0,1,30328483,119087640,26,26,26,26
