idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779177349762468915,1,1,50,-22384,1851488,27100,-42010,0,0,-77,0,0,-0.0853882,0.5000000,1
2,1779177349767465168,1,1,50,-22384,1851488,27100,-42010,0,0,-108,0,131072,-0.0853882,0.5000000,1
3,1779177349772575825,1,1,50,-22384,1851488,27100,-42010,0,0,-81,0,131072,-0.0853882,0.5000000,1
4,1779177349777468204,1,1,50,-22384,1851488,27100,-42011,0,0,-86,0,131072,-0.0853882,0.5000000,1
5,1779177349782477130,1,1,50,-22384,1851488,27100,-42012,0,0,-137,0,131072,-0.0853882,0.5000000,1
6,1779177349787472295,1,1,50,-22384,1851488,27100,-42012,0,0,-151,0,131072,-0.0853882,0.5000000,1
7,1779177349792466373,1,1,50,-22384,1851488,27100,-42013,0,0,-66,0,131072,-0.0853882,0.5000000,1
8,1779177349797458146,1,1,50,-22384,1851488,27100,-42012,0,0,79,0,131072,-0.0853882,0.5000000,1
9,1779177349802547554,1,1,50,-22384,1851488,27100,-42011,0,0,199,0,131072,-0.0853882,0.5000000,1
10,1779177349807466654,1,1,50,-22384,1851488,27100,-42010,0,0,260,0,131072,-0.0853882,0.5000000,1
11,1779177349812438011,1,1,50,-22384,1851488,27100,-42009,0,0,284,0,131072,-0.0853882,0.5000000,1
12,1779177349817449753,1,1,50,22368,1851488,27100,-42007,0,0,304,0,131072,0.0853271,0.5000000,1
13,1779177349822452119,1,1,50,-22384,1851488,27100,-42005,0,0,348,0,131072,-0.0853882,0.5000000,1
14,1779177349827453172,1,1,50,-22384,1851488,27100,-42003,0,0,359,0,131072,-0.0853882,0.5000000,1
15,1779177349832447186,1,1,50,22368,1851488,27100,-42002,0,0,286,0,131072,0.0853271,0.5000000,1
16,1779177349837445295,1,1,50,-22384,1851488,27100,-42001,0,0,178,0,131072,-0.0853882,0.5000000,1
17,1779177349842441709,1,1,50,22368,1851488,27100,-42001,0,0,82,0,131072,0.0853271,0.5000000,1
18,1779177349847448843,1,1,50,-22384,1851488,27100,-42001,0,0,32,0,131072,-0.0853882,0.5000000,1
19,1779177349852442376,1,1,50,22368,1851488,27100,-42001,0,0,11,0,131072,0.0853271,0.5000000,1
20,1779177349857436646,1,1,50,-22384,1851488,27100,-42001,0,0,-28,0,131072,-0.0853882,0.5000000,1
21,1779177349862446276,1,1,50,22368,1851488,27100,-42001,0,0,-82,0,131072,0.0853271,0.5000000,1
22,1779177349867444514,1,1,50,-22384,1851488,27100,-42002,0,0,-124,0,131072,-0.0853882,0.5000000,1
23,1779177349872450815,1,1,50,22368,1851488,27100,-42002,0,0,-134,0,131072,0.0853271,0.5000000,1
24,1779177349877443997,1,1,50,-22384,1851488,27100,-42003,0,0,-83,0,131072,-0.0853882,0.5000000,1
25,1779177349882448443,1,1,50,22368,1851488,27100,-42003,0,0,11,0,131072,0.0853271,0.5000000,1
26,1779177349887457849,1,1,50,-22384,1851488,27100,-42002,0,0,55,0,131072,-0.0853882,0.5000000,1
27,1779177349892429142,1,1,50,22368,1851488,27100,-42002,0,0,11,0,131072,0.0853271,0.5000000,1
28,1779177349897433267,1,1,50,-22384,1851488,27100,-42003,0,0,-46,0,131072,-0.0853882,0.5000000,1
29,1779177349902435153,1,1,50,22368,1851488,27100,-42003,0,0,-100,0,131072,0.0853271,0.5000000,1
30,1779177349907431727,1,1,50,-22384,1851488,27100,-42004,0,0,-222,0,131072,-0.0853882,0.5000000,1
31,1779177349912437037,1,1,50,22368,1851488,27100,-42006,0,0,-345,0,131072,0.0853271,0.5000000,1
32,1779177349917431562,1,1,50,-22384,1851488,27100,-42008,0,0,-343,0,131072,-0.0853882,0.5000000,1
33,1779177349922427080,1,1,50,22368,1851488,27100,-42009,0,0,-238,0,131072,0.0853271,0.5000000,1
34,1779177349927427717,1,1,50,-22384,1851488,27100,-42009,0,0,-83,0,131072,-0.0853882,0.5000000,1
35,1779177349932436419,1,1,50,22368,1851488,27100,-42009,0,0,89,0,131072,0.0853271,0.5000000,1
36,1779177349937436225,1,1,50,-22384,1851488,27100,-42008,0,0,218,0,131072,-0.0853882,0.5000000,1
37,1779177349942430846,1,1,50,22368,1851488,27100,-42006,0,0,285,0,131072,0.0853271,0.5000000,1
38,1779177349947451485,1,1,50,-22384,1851488,27100,-42005,0,0,278,0,131072,-0.0853882,0.5000000,1
39,1779177349952451642,1,1,50,-22384,1851488,27100,-42004,0,0,171,0,131072,-0.0853882,0.5000000,1
40,1779177349957440248,1,1,50,-22384,1851488,27100,-42004,0,0,25,0,131072,-0.0853882,0.5000000,1
